,NCESDist,year,School District Type,Total!!Population 16 years and over,Employment/Population Ratio!!Population 16 years and over,Unemployment rate!!Population 16 years and over,Total!!Population 20 to 64 years,Employment/Population Ratio!!Population 20 to 64 years,Unemployment rate!!Population 20 to 64 years
0,604740,2018,Unified,109560.0,58.1,3.9,79537.0,69.6,3.6
1,634710,2018,Unified,63248.0,62.3,3.8,49083.0,75.9,3.3
2,604290,2018,Unified,50539.0,56.1,3.4,34450.0,74.2,3.6
3,610620,2018,Unified,71904.0,50.2,5.8,52289.0,61.1,4.7
4,611110,2018,Unified,166990.0,46.8,10.7,104703.0,67.2,10.4
5,634620,2018,Unified,284791.0,59.7,5.3,206526.0,74.7,4.9
6,634680,2018,Unified,61382.0,66.1,3.0,47952.0,79.0,2.8
7,607500,2018,Unified,,,,,,
8,613920,2018,Unified,146479.0,62.8,5.9,119270.0,72.5,4.8
9,623080,2018,Unified,66172.0,53.2,4.3,45286.0,69.4,3.7
10,624500,2018,Unified,63392.0,61.6,3.6,51171.0,71.7,3.6
11,625470,2018,Unified,132736.0,59.9,6.0,100330.0,73.2,5.7
12,604440,2018,Unified,63419.0,64.8,7.6,51956.0,75.6,7.3
13,627690,2018,Unified,100148.0,59.9,4.3,73945.0,75.1,3.9
14,630660,2018,Unified,129581.0,63.3,3.8,95286.0,78.0,3.5
15,631320,2018,Unified,132176.0,59.2,6.1,100595.0,72.1,5.0
16,633840,2018,Unified,272427.0,58.3,7.0,204546.0,72.9,6.4
17,614400,2018,Unified,190200.0,65.3,3.3,150561.0,77.5,2.8
18,643470,2018,Unified,55889.0,53.8,9.2,40732.0,66.3,9.4
19,636840,2018,Unified,105635.0,64.1,4.0,77267.0,78.9,3.5
20,600028,2018,Unified,124395.0,58.6,4.6,97665.0,70.5,4.0
21,615180,2018,Unified,,,,,,
22,626910,2018,Unified,67612.0,65.9,2.6,52633.0,78.9,2.4
23,627240,2018,Unified,164771.0,65.1,3.1,122875.0,78.7,2.4
24,639420,2018,Unified,118365.0,61.3,3.1,86119.0,77.5,3.1
25,601414,2018,Unified,75486.0,61.9,5.2,54225.0,76.6,4.6
26,602430,2018,Unified,91610.0,64.0,4.0,74470.0,74.2,3.6
27,600020,2018,Unified,64058.0,65.6,2.8,47245.0,79.9,2.3
28,609030,2018,Unified,168706.0,61.1,5.1,126100.0,74.8,4.9
29,623160,2018,Unified,50502.0,57.5,7.2,41034.0,66.1,6.4
30,635430,2018,Unified,144845.0,66.9,4.3,114579.0,78.6,4.3
31,600027,2018,Unified,101381.0,58.7,6.1,75681.0,72.9,5.8
32,600036,2018,Unified,66986.0,67.8,5.6,56659.0,77.7,5.4
33,634590,2018,Unified,229612.0,65.6,4.2,178013.0,79.0,3.6
34,600014,2018,Unified,77198.0,51.6,8.5,58684.0,64.6,6.8
35,615240,2018,Unified,189197.0,57.3,6.0,140891.0,72.2,5.1
36,600013,2018,Unified,51542.0,59.9,5.6,38279.0,73.4,5.0
37,601770,2018,Unified,63939.0,66.7,2.9,47499.0,82.6,2.9
38,602850,2018,Unified,87452.0,59.4,6.8,65814.0,70.8,6.9
39,606450,2018,Unified,87301.0,60.4,3.5,67592.0,73.0,3.7
40,635700,2018,Unified,92599.0,63.9,4.7,67507.0,78.0,5.0
41,608460,2018,Unified,156659.0,59.5,4.1,126588.0,70.2,3.8
42,619260,2018,Unified,85953.0,56.2,9.9,65723.0,68.1,7.5
43,633860,2018,Unified,188568.0,62.5,4.0,130056.0,81.2,3.8
44,614880,2018,Unified,226392.0,61.1,4.2,173119.0,74.7,4.0
45,616325,2018,Unified,96372.0,61.5,5.1,71112.0,76.6,4.9
46,607970,2018,Unified,65222.0,60.1,9.8,50116.0,72.0,9.7
47,640590,2018,Unified,66026.0,61.4,2.4,48455.0,74.3,2.5
48,600153,2018,Unified,100944.0,58.9,4.3,73196.0,77.0,4.3
49,609620,2018,Unified,116063.0,52.6,7.8,91468.0,63.1,7.3
50,616920,2018,Unified,111506.0,48.3,7.0,73732.0,65.8,6.9
51,634170,2018,Unified,200460.0,54.2,9.1,159582.0,64.2,8.6
52,634800,2018,Unified,84998.0,46.9,7.0,54576.0,63.4,3.7
53,613890,2018,Unified,103618.0,57.8,4.3,79400.0,69.7,4.1
54,628650,2018,Unified,184296.0,62.1,3.8,140898.0,74.5,3.1
55,634320,2018,Unified,923766.0,62.2,5.0,726308.0,74.1,4.7
56,637530,2018,Unified,,,,,,
57,623610,2018,Unified,113642.0,53.4,6.2,86106.0,65.3,5.7
58,625800,2018,Unified,134418.0,58.3,8.4,107574.0,68.7,8.0
59,612330,2018,Unified,259856.0,58.3,5.8,197971.0,71.6,5.3
60,614550,2018,Unified,291392.0,52.3,9.7,221989.0,63.2,8.7
61,628250,2018,Unified,110503.0,60.2,6.6,84480.0,71.5,5.9
