,Unnamed: 0,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NCESDist,year,School District Type
0,1,109560,58.1,3.9,79537,69.6,3.6,604740,2018,Unified
1,2,63248,62.3,3.8,49083,75.9,3.3,634710,2018,Unified
2,3,50539,56.1,3.4,34450,74.2,3.6,604290,2018,Unified
3,4,71904,50.2,5.8,52289,61.1,4.7,610620,2018,Unified
4,5,166990,46.8,10.7,104703,67.2,10.4,611110,2018,Unified
5,6,284791,59.7,5.3,206526,74.7,4.9,634620,2018,Unified
6,7,61382,66.1,3.0,47952,79.0,2.8,634680,2018,Unified
7,8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,607500,2018,Unified
8,9,146479,62.8,5.9,119270,72.5,4.8,613920,2018,Unified
9,10,66172,53.2,4.3,45286,69.4,3.7,623080,2018,Unified
10,11,63392,61.6,3.6,51171,71.7,3.6,624500,2018,Unified
11,12,132736,59.9,6.0,100330,73.2,5.7,625470,2018,Unified
12,13,63419,64.8,7.6,51956,75.6,7.3,604440,2018,Unified
13,14,100148,59.9,4.3,73945,75.1,3.9,627690,2018,Unified
14,15,129581,63.3,3.8,95286,78.0,3.5,630660,2018,Unified
15,16,132176,59.2,6.1,100595,72.1,5.0,631320,2018,Unified
16,17,272427,58.3,7.0,204546,72.9,6.4,633840,2018,Unified
17,18,190200,65.3,3.3,150561,77.5,2.8,614400,2018,Unified
18,19,55889,53.8,9.2,40732,66.3,9.4,643470,2018,Unified
19,20,105635,64.1,4.0,77267,78.9,3.5,636840,2018,Unified
20,21,124395,58.6,4.6,97665,70.5,4.0,600028,2018,Unified
21,22,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,615180,2018,Unified
22,23,67612,65.9,2.6,52633,78.9,2.4,626910,2018,Unified
23,24,164771,65.1,3.1,122875,78.7,2.4,627240,2018,Unified
24,25,118365,61.3,3.1,86119,77.5,3.1,639420,2018,Unified
25,26,75486,61.9,5.2,54225,76.6,4.6,601414,2018,Unified
26,27,91610,64.0,4.0,74470,74.2,3.6,602430,2018,Unified
27,28,64058,65.6,2.8,47245,79.9,2.3,600020,2018,Unified
28,29,168706,61.1,5.1,126100,74.8,4.9,609030,2018,Unified
29,30,50502,57.5,7.2,41034,66.1,6.4,623160,2018,Unified
30,31,144845,66.9,4.3,114579,78.6,4.3,635430,2018,Unified
31,32,101381,58.7,6.1,75681,72.9,5.8,600027,2018,Unified
32,33,66986,67.8,5.6,56659,77.7,5.4,600036,2018,Unified
33,34,229612,65.6,4.2,178013,79.0,3.6,634590,2018,Unified
34,35,77198,51.6,8.5,58684,64.6,6.8,600014,2018,Unified
35,36,189197,57.3,6.0,140891,72.2,5.1,615240,2018,Unified
36,37,51542,59.9,5.6,38279,73.4,5.0,600013,2018,Unified
37,38,63939,66.7,2.9,47499,82.6,2.9,601770,2018,Unified
38,39,87452,59.4,6.8,65814,70.8,6.9,602850,2018,Unified
39,40,87301,60.4,3.5,67592,73.0,3.7,606450,2018,Unified
40,41,92599,63.9,4.7,67507,78.0,5.0,635700,2018,Unified
41,42,156659,59.5,4.1,126588,70.2,3.8,608460,2018,Unified
42,43,85953,56.2,9.9,65723,68.1,7.5,619260,2018,Unified
43,44,188568,62.5,4.0,130056,81.2,3.8,633860,2018,Unified
44,45,226392,61.1,4.2,173119,74.7,4.0,614880,2018,Unified
45,46,96372,61.5,5.1,71112,76.6,4.9,616325,2018,Unified
46,47,65222,60.1,9.8,50116,72.0,9.7,607970,2018,Unified
47,48,66026,61.4,2.4,48455,74.3,2.5,640590,2018,Unified
48,49,100944,58.9,4.3,73196,77.0,4.3,600153,2018,Unified
49,50,116063,52.6,7.8,91468,63.1,7.3,609620,2018,Unified
50,51,111506,48.3,7.0,73732,65.8,6.9,616920,2018,Unified
51,52,200460,54.2,9.1,159582,64.2,8.6,634170,2018,Unified
52,53,84998,46.9,7.0,54576,63.4,3.7,634800,2018,Unified
53,54,103618,57.8,4.3,79400,69.7,4.1,613890,2018,Unified
54,55,184296,62.1,3.8,140898,74.5,3.1,628650,2018,Unified
55,56,923766,62.2,5.0,726308,74.1,4.7,634320,2018,Unified
56,57,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,637530,2018,Unified
57,58,113642,53.4,6.2,86106,65.3,5.7,623610,2018,Unified
58,59,134418,58.3,8.4,107574,68.7,8.0,625800,2018,Unified
59,60,259856,58.3,5.8,197971,71.6,5.3,612330,2018,Unified
60,61,291392,52.3,9.7,221989,63.2,8.7,614550,2018,Unified
61,62,110503,60.2,6.6,84480,71.5,5.9,628250,2018,Unified
62,63,159226,60.5,4.3,119595,74.4,3.9,631530,2018,Unified
63,64,111243,56.3,6.8,82582,70.1,6.3,641160,2018,Unified
64,65,86160,63.5,5.2,66028,77.2,4.5,600029,2018,Unified
65,66,134818,56.9,5.1,105042,67.2,4.7,601332,2018,Unified
66,67,61264,60.9,7.0,47919,73.3,6.4,603690,2018,Unified
67,68,292100,62.6,3.4,210036,77.6,3.0,607440,2018,Unified
68,69,54167,57.0,2.6,37755,68.9,2.8,621000,2018,Unified
69,70,96837,61.8,6.0,68794,78.0,5.5,626640,2018,Unified
70,71,103200,60.0,7.7,76606,74.6,6.5,640740,2018,Unified
71,72,96628,55.7,10.9,74008,67.7,10.2,632370,2018,Unified
72,73,204650,65.2,4.7,166525,75.5,4.6,635310,2018,Unified
