,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
1,94280,72625,60.5,74.2,8.4,7.6,0602310,2015,Elementary
2,161041,130994,65.7,76.8,6.6,6.1,0602610,2015,Elementary
3,146865,113489,54.3,64.9,13.7,13.2,0603630,2015,Elementary
4,64015,50104,60.1,71.7,6.7,6.4,0604800,2015,Elementary
5,74714,58556,64.4,75.3,6.5,6.6,0605580,2015,Elementary
6,94502,74443,61.2,70.5,8.9,8.8,0606390,2015,Elementary
7,136933,106100,55.6,67.5,9.9,9,0606810,2015,Elementary
8,79062,63092,67.8,79.8,3.7,3.7,0607200,2015,Elementary
9,233241,181265,57.8,70.7,7.4,7,0608610,2015,Elementary
10,113387,87271,60.2,74.7,5.5,5.4,0610290,2015,Elementary
11,61301,47618,59.7,72.5,6.3,6.5,0611850,2015,Elementary
12,65451,49049,51.2,65.4,5.6,5.5,0612090,2015,Elementary
13,60436,42460,58.6,75.3,4.6,4.2,0612750,2015,Elementary
14,133637,103307,60.1,72.4,7.8,7.3,0612880,2015,Elementary
15,65697,54492,62.2,71.9,6.6,5.8,0612960,2015,Elementary
16,85921,63444,59.3,75,5.6,5,0613140,2015,Elementary
17,76489,61393,62.9,74,7.9,7.1,0614370,2015,Elementary
18,98656,73662,58.2,72,8.2,6.8,0614730,2015,Elementary
19,71929,49726,53.8,65.1,6.1,4.9,0615510,2015,Elementary
20,59646,48316,61.2,72.6,8,7.4,0616680,2015,Elementary
21,73183,54652,64.2,76.9,5.8,5.3,0618030,2015,Elementary
22,82337,66222,64.3,74.7,7.8,8,0618870,2015,Elementary
23,114460,87755,57.8,70.8,9.2,8.6,0620250,2015,Elementary
24,83943,66688,48,56.8,6.6,6.3,0620880,2015,Elementary
25,50077,39482,62.9,76.1,3.4,3.2,0623430,2015,Elementary
26,63752,45689,50.9,66.7,8.3,8.4,0624540,2015,Elementary
27,65989,49845,43.1,54.3,16.9,13.5,0624600,2015,Elementary
28,88555,68180,47.4,57.8,17.4,16.4,0625130,2015,Elementary
29,56070,47644,73.9,82.3,3.4,3.2,0626280,2015,Elementary
30,54760,40767,59.3,71.9,6.5,5.7,0627180,2015,Elementary
31,84558,67959,63,73.5,5.8,6,0627810,2015,Elementary
32,78757,58620,62.5,77.2,4.4,4,0628140,2015,Elementary
33,129456,104639,61.1,71.7,6.8,6.3,0628470,2015,Elementary
34,92169,71365,58.7,70.6,7.9,7.8,0629220,2015,Elementary
35,97970,77561,50,60.7,11.8,10.4,0629580,2015,Elementary
36,63502,43376,54.6,71.5,5.7,5.1,0630990,2015,Elementary
37,78634,61606,64.3,76.1,4.1,4.2,0632130,2015,Elementary
38,73836,55690,58.5,73.2,5.9,5.9,0633600,2015,Elementary
39,61449,47089,56.4,69,8.2,7.1,0633930,2015,Elementary
40,110570,84836,66.6,80.4,3.9,3.8,0634920,2015,Elementary
41,59554,42245,52.6,65,7,4.9,0635590,2015,Elementary
42,64062,49729,63.3,74.2,7.5,6.2,0635810,2015,Elementary
43,85220,67333,66.9,79.3,5.2,4.5,0635970,2015,Elementary
44,68743,53468,53.8,63.7,11.3,11.1,0637380,2015,Elementary
45,51930,41064,66.6,79.9,7,6.9,0638220,2015,Elementary
46,59551,46517,51,61,8.4,7.2,0642120,2015,Elementary
47,73639,60969,69.3,79.7,4.9,4.9,0638460,2015,Elementary
48,57252,43733,58.4,69.7,7.8,7.7,0638670,2015,Elementary
49,73021,54985,44.4,55.4,19.6,17,0641040,2015,Elementary
50,68232,50347,58.4,73.9,5.6,5.3,0642150,2015,Elementary
51,56985,43769,60.6,74.4,5.1,4.8,0642450,2015,Elementary
