,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
1,97561,63029,58.3,77.7,2.7,2.8,0601650,2017,Secondary
2,318227,246046,60.9,73.5,5.3,4.6,0602630,2017,Secondary
3,289577,226691,51.1,61.3,6.5,6.3,0602820,2017,Secondary
4,92779,61782,57.7,72.1,7.4,6.7,0606019,2017,Secondary
5,77263,57799,54.0,67.0,6.5,6.5,0606034,2017,Secondary
6,184603,145847,67.7,79.5,3.2,3.1,0607230,2017,Secondary
7,118543,97457,65.3,75.4,5.6,5.1,0607920,2017,Secondary
8,330347,262183,62.6,73.7,5.9,5.2,0608160,2017,Secondary
9,53777,43607,48.2,55.6,14.1,13.8,0610860,2017,Secondary
10,442231,343077,64.1,77.1,4.7,4.4,0611820,2017,Secondary
11,120006,82781,51.6,67.0,3.5,3.0,0612070,2017,Secondary
12,142668,109896,58.6,71.6,4.8,4.4,0612120,2017,Secondary
13,134458,103064,63.5,76.9,3.6,3.5,0612910,2017,Secondary
14,55054,38635,39.0,48.3,6.0,6.0,0613530,2017,Secondary
15,194169,152704,65.2,78.0,3.8,3.9,0614430,2017,Secondary
16,209471,160835,62.1,74.9,5.9,5.2,0614760,2017,Secondary
17,382890,293720,60.8,72.6,6.2,5.9,0616230,2017,Secondary
18,54702,41835,56.9,70.4,6.3,5.8,0616500,2017,Secondary
19,265794,191345,61.2,76.9,4.3,4.1,0618060,2017,Secondary
20,129603,99083,66.8,81.1,3.9,3.2,0618930,2017,Secondary
21,470576,363674,53.9,65.2,9.4,8.2,0619540,2017,Secondary
22,100287,75894,61.5,74.9,5.5,5.1,0621600,2017,Secondary
23,131635,100062,50.3,62.6,11.9,10.2,0624660,2017,Secondary
24,216048,161653,55.8,68.8,7.9,7.3,0625150,2017,Secondary
25,95137,74359,68.2,80.7,3.1,3.2,0626310,2017,Secondary
26,72890,44622,52.2,71.1,3.9,3.1,0626880,2017,Secondary
27,263216,202639,61.4,74.0,6.1,5.5,0629270,2017,Secondary
28,62266,45180,61.2,77.0,4.5,4.3,0630250,2017,Secondary
29,79894,53397,52.7,70.7,4.9,3.8,0630750,2017,Secondary
30,143587,105059,60.3,75.5,4.2,3.4,0633630,2017,Secondary
31,128304,99927,60.6,72.5,4.6,4.6,0633980,2017,Secondary
32,138888,101765,62.6,77.9,3.8,3.4,0634380,2017,Secondary
33,196584,145990,65.2,80.3,4.1,4.0,0634980,2017,Secondary
34,62219,42630,59.0,74.7,3.0,2.6,0635110,2017,Secondary
35,87243,61931,57.6,69.5,8.7,8.3,0635600,2017,Secondary
36,113804,88217,62.1,73.6,5.1,4.8,0635670,2017,Secondary
37,173354,124465,60.7,74.6,4.2,4.1,0635830,2017,Secondary
38,211668,163709,67.5,79.3,3.4,3.2,0636390,2017,Secondary
39,83709,58414,54.2,68.2,3.5,3.0,0636600,2017,Secondary
40,117728,90104,47.1,58.7,13.2,11.7,0636972,2017,Secondary
41,390043,301252,54.6,67.1,9.0,7.5,0638640,2017,Secondary
42,93797,62959,59.0,74.3,5.0,5.4,0638790,2017,Secondary
43,57010,45072,57.6,69.7,5.9,5.0,0639930,2017,Secondary
44,177140,133678,58.6,72.9,3.5,3.2,0642480,2017,Secondary
45,208964,163856,62.6,73.5,5.0,4.6,0642510,2017,Secondary
