,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
1,82334,62228,48.6,60.4,8.7,7.7,0600014,2016,Unified
2,63598,47083,63.1,76.1,3.5,3.4,0600016,2016,Unified
3,63453,46795,45.9,58.1,13.1,13.1,0600017,2016,Unified
4,62993,48061,61.5,73.9,4.0,3.5,0600020,2016,Unified
5,100634,80312,58.9,69.9,8.2,7.1,0600027,2016,Unified
6,120506,92970,58.7,70.6,7.8,7.1,0600028,2016,Unified
7,84976,66062,57.9,70.8,8.6,8.0,0600029,2016,Unified
8,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0600032,2016,Unified
9,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0600036,2016,Unified
10,62240,47597,61.6,75.4,5.3,4.6,0600047,2016,Unified
11,98402,70965,56.3,73.3,4.9,4.5,0600153,2016,Unified
12,60453,44492,55.6,71.4,8.2,7.7,0600158,2016,Unified
13,135133,105473,53.5,64.6,8.2,7.8,0601332,2016,Unified
14,73578,53547,63.2,76.4,4.0,3.4,0601414,2016,Unified
15,84152,62412,54.4,68.3,6.3,6.5,0601620,2016,Unified
16,63244,49705,63.1,74.1,3.5,3.6,0601770,2016,Unified
17,87885,70711,60.7,71.0,6.6,6.2,0602430,2016,Unified
18,91087,70484,59.1,71.5,6.4,6.0,0602850,2016,Unified
19,56367,45050,61.5,72.0,6.9,5.6,0603600,2016,Unified
20,58339,46358,61.9,74.1,4.9,4.3,0603690,2016,Unified
21,63126,49141,56.2,67.9,7.0,6.5,0604440,2016,Unified
22,106709,76616,60.4,73.7,4.6,3.8,0604740,2016,Unified
23,87626,63485,58.4,74.4,7.3,6.3,0606450,2016,Unified
24,283529,212178,64.1,77.1,4.4,4.0,0607440,2016,Unified
25,59274,44452,61.9,76.1,5.1,4.6,0607500,2016,Unified
26,61319,49564,60.2,70.4,9.3,9.1,0607970,2016,Unified
27,92286,69494,57.5,70.9,8.6,7.8,0608370,2016,Unified
28,155255,121643,53.5,63.8,6.1,5.4,0608460,2016,Unified
29,159107,119885,61.7,74.5,6.0,6.0,0609030,2016,Unified
30,68438,52056,55.5,69.5,10.8,10.0,0609070,2016,Unified
31,91392,70531,58.5,70.7,8.3,8.0,0609390,2016,Unified
32,120722,92366,53.9,65.2,10.1,9.1,0609620,2016,Unified
33,114727,81673,60.7,74.6,4.8,4.7,0609640,2016,Unified
34,221646,176423,60.8,71.7,6.0,5.5,0609850,2016,Unified
35,65755,49766,63.3,79.1,4.9,4.5,0610050,2016,Unified
36,70047,49947,49.2,61.7,6.0,5.2,0610620,2016,Unified
37,156428,97205,48.5,68.7,7.2,6.6,0611110,2016,Unified
38,95735,74507,64.3,77.2,5.7,5.4,0611460,2016,Unified
39,259386,196546,57.7,71.2,6.9,6.7,0612330,2016,Unified
40,110540,83710,59.7,72.3,6.3,6.0,0613360,2016,Unified
41,101611,77591,60.4,73.2,3.7,3.2,0613890,2016,Unified
42,140553,114260,61.4,71.3,7.7,7.0,0613920,2016,Unified
43,181200,144556,64.3,76.2,3.2,3.2,0614400,2016,Unified
44,291647,223516,51.0,61.3,10.8,10.8,0614550,2016,Unified
45,223189,171000,59.8,72.0,5.5,5.5,0614880,2016,Unified
46,48827,37807,66.9,78.4,5.6,4.9,0615180,2016,Unified
47,184853,136224,57.8,72.7,9.2,8.7,0615240,2016,Unified
48,94737,71864,58.2,72.1,5.4,5.0,0616325,2016,Unified
49,147294,115459,63.0,75.3,3.9,4.0,0616740,2016,Unified
50,108666,71798,41.3,55.9,13.6,12.5,0616920,2016,Unified
51,94086,73446,59.6,71.6,8.8,7.1,0618390,2016,Unified
52,80149,64172,57.6,68.7,8.6,8.1,0619260,2016,Unified
53,53372,36980,63.0,78.8,2.7,2.1,0621000,2016,Unified
54,77959,61438,68.4,81.6,3.5,3.1,0622110,2016,Unified
55,130833,96014,56.2,69.7,7.9,7.3,0622230,2016,Unified
56,409425,325094,62.1,73.6,6.6,6.2,0622500,2016,Unified
57,3840920,3024387,61.0,72.5,6.9,6.4,0622710,2016,Unified
58,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0623080,2016,Unified
59,51397,41345,59.2,71.8,7.9,6.2,0623160,2016,Unified
60,65575,50732,52.6,64.3,12.6,11.6,0623340,2016,Unified
61,100477,79178,54.4,65.3,10.1,9.7,0623610,2016,Unified
62,60932,49388,63.6,76.0,3.0,3.1,0624500,2016,Unified
63,131472,98281,55.6,70.1,8.0,7.3,0625470,2016,Unified
64,70994,52900,56.4,68.8,3.9,3.3,0625530,2016,Unified
65,132313,108544,58.4,67.6,10.0,9.2,0625800,2016,Unified
66,52103,38197,64.3,78.0,3.7,3.8,0625830,2016,Unified
67,55966,42344,40.9,49.9,11.1,9.9,0625860,2016,Unified
68,217519,165185,62.2,75.8,5.5,5.1,0626370,2016,Unified
69,98493,70514,63.6,79.3,4.7,4.7,0626640,2016,Unified
70,67141,53327,62.1,74.4,4.8,4.9,0626910,2016,Unified
71,164625,126187,65.9,78.2,3.1,2.9,0627240,2016,Unified
72,100237,75490,55.8,68.9,6.7,5.9,0627690,2016,Unified
73,346209,276396,64.4,76.1,6.3,5.9,0628050,2016,Unified
74,112434,86482,56.5,68.3,5.2,4.9,0628250,2016,Unified
75,180915,137228,63.6,75.0,4.9,4.7,0628650,2016,Unified
76,96071,73179,62.0,74.1,6.6,5.8,0629490,2016,Unified
