,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 20 to 64 years,NCESDist,year,School District Type
1,103753,73833,56.9,73.7,6.0,5.2,0632070,2019,Unified
2,205097,155464,64.0,77.7,3.0,2.7,0632550,2019,Unified
3,215389,163980,59.6,71.6,4.8,4.4,0633150,2019,Unified
4,87017,63374,60.3,73.7,6.8,6.5,0633750,2019,Unified
5,274468,205929,60.0,75.1,6.2,5.5,0633840,2019,Unified
6,183097,126824,63.5,81.4,2.9,2.8,0633860,2019,Unified
7,202719,159290,57.5,66.5,5.8,5.4,0634170,2019,Unified
8,926963,724749,62.8,74.7,4.8,4.5,0634320,2019,Unified
9,774619,607791,69.6,83.1,3.7,3.4,0634410,2019,Unified
10,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0615180,2019,Unified
11,183572,134936,61.0,77.1,5.2,4.9,0615240,2019,Unified
12,94530,70102,59.8,73.6,5.9,5.4,0616325,2019,Unified
13,150212,117632,66.0,77.6,3.6,3.2,0616740,2019,Unified
14,116053,78776,43.6,60.3,9.1,7.7,0616920,2019,Unified
15,89861,69805,63.6,75.9,5.0,4.8,0618390,2019,Unified
16,79747,60349,57.7,71.3,8.6,6.4,0619260,2019,Unified
17,86657,64444,61.9,76.3,6.3,6.0,0606450,2019,Unified
18,290024,208516,61.7,76.4,4.3,4.0,0607440,2019,Unified
19,64520,45672,58.7,76.8,7.9,7.4,0607500,2019,Unified
20,66559,53630,62.0,71.4,6.4,5.9,0600047,2019,Unified
21,181747,135170,62.8,76.3,3.2,3.0,0628650,2019,Unified
22,53269,36680,59.4,75.0,6.1,4.9,0621000,2019,Unified
23,72276,52393,65.5,81.2,2.8,2.3,0622110,2019,Unified
24,134109,95779,57.5,74.1,5.5,4.5,0622230,2019,Unified
25,418514,327615,63.9,76.5,5.0,4.7,0622500,2019,Unified
26,3871485,3023252,63.3,75.4,5.3,4.9,0622710,2019,Unified
27,80008,62171,51.9,63.2,6.8,5.8,0600014,2019,Unified
28,64914,47629,64.2,78.7,3.9,4.1,0600016,2019,Unified
29,58703,45706,60.7,73.9,6.4,5.8,0603690,2019,Unified
30,88116,62620,61.4,76.0,5.4,5.5,0629490,2019,Unified
31,147306,95442,49.7,68.0,6.2,5.6,0629550,2019,Unified
32,70348,48055,57.9,72.8,1.9,1.5,0629610,2019,Unified
33,59830,47665,60.3,70.3,5.0,4.4,0629850,2019,Unified
34,175063,133400,63.8,77.1,3.6,3.2,0629940,2019,Unified
35,131686,98726,64.9,79.8,3.4,3.2,0630660,2019,Unified
36,135758,100226,60.2,74.8,4.8,3.7,0631320,2019,Unified
37,158642,120511,64.0,77.1,6.1,5.8,0631530,2019,Unified
38,51789,33951,50.6,67.5,8.6,9.3,0604290,2019,Unified
39,64737,48964,62.1,77.6,4.5,3.3,0604440,2019,Unified
40,110494,83173,64.8,78.3,3.3,3.1,0613360,2019,Unified
41,51882,36253,58.6,75.1,4.4,4.1,0600013,2019,Unified
42,70877,55926,67.0,79.8,4.5,4.8,0624500,2019,Unified
43,128252,95554,58.7,72.8,5.7,5.5,0625470,2019,Unified
44,77250,55086,59.1,72.9,4.1,3.8,0625530,2019,Unified
45,138856,111338,58.9,69.9,5.2,4.5,0625800,2019,Unified
46,53160,39264,62.8,77.9,4.2,3.4,0625830,2019,Unified
47,54718,40476,40.8,49.0,11.0,9.4,0625860,2019,Unified
48,216354,162186,65.3,80.1,3.2,3.1,0626370,2019,Unified
49,96795,68118,60.5,78.0,3.2,3.0,0626640,2019,Unified
50,64728,48501,63.3,78.6,2.4,2.5,0626910,2019,Unified
51,116144,89464,56.8,68.9,8.8,8.4,0609620,2019,Unified
52,106560,73071,62.0,78.3,3.2,3.3,0609640,2019,Unified
53,228325,183412,63.1,74.0,3.9,3.7,0609850,2019,Unified
54,57184,42055,62.6,79.2,3.3,3.1,0610050,2019,Unified
55,106178,83258,64.2,75.5,3.1,3.0,0613890,2019,Unified
56,136335,107115,60.1,70.4,5.8,5.7,0613920,2019,Unified
57,192852,152334,65.5,78.3,2.7,2.7,0614400,2019,Unified
58,66152,50531,59.3,72.8,9.2,6.4,0607970,2019,Unified
59,104602,74184,59.3,73.2,6.4,5.8,0608370,2019,Unified
60,166654,131368,61.2,71.9,2.4,2.3,0608460,2019,Unified
61,169620,124425,61.6,76.1,5.2,5.1,0609030,2019,Unified
62,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0609070,2019,Unified
63,91151,71931,57.9,69.7,4.0,2.8,0609390,2019,Unified
64,107429,80426,64.4,78.1,3.3,3.1,0636840,2019,Unified
65,75398,56546,68.0,82.9,2.7,2.6,0637530,2019,Unified
66,155674,119564,53.8,65.1,9.2,8.2,0638010,2019,Unified
67,116254,87823,64.7,78.5,2.5,2.4,0639420,2019,Unified
68,72844,52716,49.9,61.7,6.3,5.8,0610620,2019,Unified
69,160947,96234,49.6,72.7,4.7,5.0,0611110,2019,Unified
70,94466,72103,63.3,75.6,4.0,3.7,0611460,2019,Unified
71,271136,205736,58.7,72.2,6.2,5.5,0612330,2019,Unified
72,62429,43467,46.4,62.1,10.6,9.6,0600017,2019,Unified
73,107732,83740,66.0,77.5,3.4,3.6,0640150,2019,Unified
74,64631,48773,60.6,74.0,3.5,3.4,0640590,2019,Unified
75,103302,77539,60.0,72.7,5.9,5.9,0640740,2019,Unified
76,98619,71348,61.2,75.3,4.0,3.7,0640980,2019,Unified
77,120475,93639,58.2,69.3,3.5,2.9,0641160,2019,Unified
78,129796,100208,63.5,76.1,4.1,4.0,0641190,2019,Unified
79,65445,47727,63.0,77.4,2.6,2.6,0600020,2019,Unified
80,104154,81163,57.4,70.2,4.6,4.2,0600027,2019,Unified
81,125632,95920,59.7,71.6,4.1,3.3,0600028,2019,Unified
82,92851,68946,58.6,71.3,5.6,5.6,0600029,2019,Unified
83,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0600032,2019,Unified
84,68055,53500,69.3,81.9,3.9,3.4,0600036,2019,Unified
85,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0623080,2019,Unified
86,50077,39942,57.4,68.5,8.9,8.1,0623160,2019,Unified
87,65057,49502,57.9,70.5,7.8,6.4,0623340,2019,Unified
88,111689,85009,52.7,64.6,4.3,3.8,0623610,2019,Unified
89,97286,71304,59.9,75.1,4.1,3.9,0600153,2019,Unified
90,85646,62074,59.7,74.8,4.2,4.2,0601620,2019,Unified
91,63509,47218,64.5,80.0,2.9,3.2,0601770,2019,Unified
92,53090,39571,59.2,73.1,4.8,5.1,0643080,2019,Unified
