,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (ELEMENTARY),NCESDist,year
1,94280,21536,-999999999,-999999999,29605,-999999999,38004,-999999999,54414,7420,72625,60.5,57.7,-999999999,-999999999,60.8,-999999999,64.7,-999999999,63.2,51.5,74.2,8.4,8.7,-999999999,-999999999,7.5,-999999999,8.3,-999999999,8.8,6.4,7.6,06,02310,0602310,2015
2,161041,119572,-999999999,-999999999,17362,-999999999,17639,-999999999,105350,33376,130994,65.7,64.5,-999999999,-999999999,65.5,-999999999,73.5,-999999999,68.5,56.7,76.8,6.6,6.9,-999999999,-999999999,3.6,-999999999,7.3,-999999999,7.6,4.2,6.1,06,02610,0602610,2015
3,146865,114515,10663,-999999999,-999999999,-999999999,13093,-999999999,93833,37706,113489,54.3,54.1,49,-999999999,-999999999,-999999999,55,-999999999,57.6,46.3,64.9,13.7,12.8,14.1,-999999999,-999999999,-999999999,22.2,-999999999,15.2,9.5,13.2,06,03630,0603630,2015
4,64015,13018,-999999999,-999999999,42821,-999999999,-999999999,-999999999,-999999999,9767,50104,60.1,61.9,-999999999,-999999999,58.9,-999999999,-999999999,-999999999,-999999999,64,71.7,6.7,2.2,-999999999,-999999999,7.5,-999999999,-999999999,-999999999,-999999999,2,6.4,06,04800,0604800,2015
5,74714,61498,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,55446,14010,58556,64.4,65.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,69,49.5,75.3,6.5,5.8,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,6,9.3,6.6,06,05580,0605580,2015
6,94502,66008,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,35900,38082,74443,61.2,61.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,62.7,59.4,70.5,8.9,7.7,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12,5.2,8.8,06,06390,0606390,2015
7,136933,108639,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,36522,84315,106100,55.6,54.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,60.4,53.5,67.5,9.9,8.7,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,11.2,8.4,9,06,06810,0606810,2015
8,79062,48934,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,37978,63092,67.8,70,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,68.4,79.8,3.7,3.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,3.1,3.7,06,07200,0607200,2015
9,233241,154445,10982,-999999999,39285,-999999999,20222,-999999999,133789,44428,181265,57.8,55.1,68.8,-999999999,63.1,-999999999,62.1,-999999999,58.1,49.8,70.7,7.4,8.1,3.2,-999999999,5.7,-999999999,8.9,-999999999,8.7,7.6,7,06,08610,0608610,2015
10,113387,40004,-999999999,-999999999,65861,-999999999,-999999999,-999999999,-999999999,37420,87271,60.2,57.6,-999999999,-999999999,62.2,-999999999,-999999999,-999999999,-999999999,57.2,74.7,5.5,6.1,-999999999,-999999999,3.9,-999999999,-999999999,-999999999,-999999999,6.2,5.4,06,10290,0610290,2015
11,61301,32814,-999999999,-999999999,-999999999,-999999999,23647,-999999999,39654,17844,47618,59.7,56.7,-999999999,-999999999,-999999999,-999999999,67.1,-999999999,65.7,48.8,72.5,6.3,6.6,-999999999,-999999999,-999999999,-999999999,5.2,-999999999,6,8.3,6.5,06,11850,0611850,2015
12,65451,30177,-999999999,-999999999,24358,-999999999,-999999999,-999999999,34256,-999999999,49049,51.2,49.4,-999999999,-999999999,52.3,-999999999,-999999999,-999999999,51.5,-999999999,65.4,5.6,6.7,-999999999,-999999999,6.2,-999999999,-999999999,-999999999,4.8,-999999999,5.5,06,12090,0612090,2015
13,60436,53884,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,49296,42460,58.6,59.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,59.5,75.3,4.6,4.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,4.4,4.2,06,12750,0612750,2015
14,133637,103814,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,52235,62502,103307,60.1,59.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,67.4,54.5,72.4,7.8,7.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,7.4,7.8,7.3,06,12880,0612880,2015
15,65697,30635,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,25277,16983,54492,62.2,66.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,62.6,71.3,71.9,6.6,6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,8.5,6.3,5.8,06,12960,0612960,2015
16,85921,22685,-999999999,-999999999,46965,-999999999,-999999999,-999999999,21701,13512,63444,59.3,53.6,-999999999,-999999999,64.4,-999999999,-999999999,-999999999,59.3,47.4,75,5.6,3.6,-999999999,-999999999,5.5,-999999999,-999999999,-999999999,6.3,3.5,5,06,13140,0613140,2015
17,76489,25326,-999999999,-999999999,32013,-999999999,-999999999,-999999999,30465,-999999999,61393,62.9,61.2,-999999999,-999999999,61.3,-999999999,-999999999,-999999999,66.1,-999999999,74,7.9,8.8,-999999999,-999999999,7.7,-999999999,-999999999,-999999999,8.2,-999999999,7.1,06,14370,0614370,2015
18,98656,58895,-999999999,-999999999,23814,-999999999,-999999999,-999999999,31556,38055,73662,58.2,59.5,-999999999,-999999999,58.3,-999999999,-999999999,-999999999,64,55.6,72,8.2,7.5,-999999999,-999999999,2.9,-999999999,-999999999,-999999999,13.8,5.2,6.8,06,14730,0614730,2015
19,71929,50748,-999999999,-999999999,9154,-999999999,-999999999,-999999999,17749,41212,49726,53.8,55.3,-999999999,-999999999,42.8,-999999999,-999999999,-999999999,60.9,53,65.1,6.1,4.5,-999999999,-999999999,14,-999999999,-999999999,-999999999,4.5,4.5,4.9,06,15510,0615510,2015
20,59646,13474,14494,-999999999,-999999999,-999999999,25810,-999999999,34819,-999999999,48316,61.2,50.7,60.3,-999999999,-999999999,-999999999,66.4,-999999999,62.9,-999999999,72.6,8,5.2,11.3,-999999999,-999999999,-999999999,8.6,-999999999,7.8,-999999999,7.4,06,16680,0616680,2015
21,73183,59602,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,52548,54652,64.2,63.1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,63,76.9,5.8,6.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,7,5.3,06,18030,0618030,2015
