,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (SECONDARY),NCESDist,year
1,94601,75262,-999999999,-999999999,13761,-999999999,-999999999,-999999999,-999999999,71216,60947,55.6,54.4,-999999999,-999999999,56.7,-999999999,-999999999,-999999999,-999999999,54.4,74.3,5.7,5.6,-999999999,-999999999,6.8,-999999999,-999999999,-999999999,-999999999,5.5,5.9,06,01650,0601650,2015
2,318548,208316,-999999999,-999999999,66790,-999999999,25482,-999999999,157985,78779,249796,62.2,62,-999999999,-999999999,60.5,-999999999,68.6,-999999999,65.8,56.5,75.1,6.1,6.4,-999999999,-999999999,4.6,-999999999,7.5,-999999999,7.3,4.4,5.7,06,02630,0602630,2015
3,282958,165695,44278,-999999999,15562,-999999999,46205,9122,115611,101002,221396,48.7,49.4,40.1,-999999999,52.2,-999999999,52.6,48.2,50.9,49.6,58.9,9.4,7.4,18.3,-999999999,5.8,-999999999,10.3,7.7,8.6,7.2,8.5,06,02820,0602820,2015
4,93495,69143,-999999999,-999999999,10558,-999999999,-999999999,-999999999,20789,57522,62669,54.5,55.6,-999999999,-999999999,44.6,-999999999,-999999999,-999999999,61,54,67,5.6,4.4,-999999999,-999999999,13,-999999999,-999999999,-999999999,3.8,4.5,4.8,06,06019,0606019,2015
5,181836,115121,-999999999,-999999999,42758,-999999999,-999999999,-999999999,34027,94518,143439,66.1,66.8,-999999999,-999999999,62.5,-999999999,-999999999,-999999999,74.1,65.1,78.1,4.5,4.2,-999999999,-999999999,4.7,-999999999,-999999999,-999999999,3.5,4.2,4.4,06,07230,0607230,2015
6,128810,40711,18343,-999999999,13552,-999999999,51774,-999999999,79042,15393,104873,62.5,56.1,61.2,-999999999,65.9,-999999999,67.6,-999999999,64.2,55.3,72.7,6.6,6.1,9.5,-999999999,2.8,-999999999,7.1,-999999999,6.9,5.2,6,06,07920,0607920,2015
7,312044,156113,30083,-999999999,33785,-999999999,74272,13010,158216,83872,251964,62.4,62.3,63.1,-999999999,56.4,-999999999,66.2,55.8,64,61.9,73.2,7,6.7,10.2,-999999999,3,-999999999,6.4,11.1,7.3,6.4,6.5,06,08160,0608160,2015
8,51275,36225,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,40286,-999999999,40024,47.9,48.4,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,51.6,-999999999,58.2,14.7,15.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,15.5,-999999999,14.6,06,10860,0610860,2015
9,438275,132285,10545,-999999999,195706,-999999999,82983,13206,147702,74975,343685,61.4,60.6,53.4,-999999999,61.7,-999999999,65.6,49.3,63.8,58.6,73.6,6.9,6.1,9.6,-999999999,6.4,-999999999,7.6,15.9,7.8,5,6.4,06,11820,0611820,2015
10,120392,107346,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,99046,84541,52.9,52.7,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,52.1,68,8.5,8.4,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,8.5,8,06,12070,0612070,2015
