,Unnamed: 0,Geography,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (UNIFIED),District,NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
0,1,9700000US0604740,109560,58.1,3.9,58368,63.8,3.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,28876,47.8,3.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,13189,56.3,5.7,53181,64.6,3.2,79537,69.6,3.6,"Berkeley Unified School District, California",6,4740.0,Berkeley Unified School District,604740,2018,,
1,2,9700000US0634710,63248,62.3,3.8,28563,57.8,4.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,15704,49.1,9.8,49083,75.9,3.3,"San Lorenzo Unified School District, California",6,34710.0,San Lorenzo Unified School District,634710,2018,,
2,3,9700000US0604290,50539,56.1,3.4,30876,54.8,4.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,20887,51.0,1.9,34450,74.2,3.6,"Beaumont Unified School District, California",6,4290.0,Beaumont Unified School District,604290,2018,,
3,4,9700000US0610620,71904,50.2,5.8,43791,57.1,6.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,36846,58.3,6.0,52289,61.1,4.7,"Davis Joint Unified School District, California",6,10620.0,Davis Joint Unified School District,610620,2018,,
4,5,9700000US0611110,166990,46.8,10.7,115258,41.7,6.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,38940,62.9,18.4,-999999999,-999999999.0,-999999999.0,66685,60.3,14.2,89138,37.5,6.0,104703,67.2,10.4,"Desert Sands Unified School District, California",6,11110.0,Desert Sands Unified School District,611110,2018,,
5,6,9700000US0634620,284791,59.7,5.3,218026,58.9,4.9,14927,62.4,8.7,-999999999,-999999999.0,-999999999.0,16477,60.8,7.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,17985,62.1,4.2,44681,68.2,4.9,191173,57.5,4.9,206526,74.7,4.9,"San Juan Unified School District, California",6,34620.0,San Juan Unified School District,634620,2018,,
6,7,9700000US0634680,61382,66.1,3.0,24256,66.7,2.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,20303,67.6,2.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,14524,63.0,2.5,47952,79.0,2.8,"San Leandro Unified School District, California",6,34680.0,San Leandro Unified School District,634680,2018,,
7,8,9700000US0607500,-999999999,-999999999.0,-999999999.0,50234,61.1,1.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,43021,60.2,2.0,-999999999,-999999999.0,-999999999.0,"Carlsbad Unified School District, California",6,7500.0,Carlsbad Unified School District,607500,2018,,
8,9,9700000US0613920,146479,62.8,5.9,49114,62.1,4.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,77250,64.1,6.7,-999999999,-999999999.0,-999999999.0,112446,63.8,6.3,17132,58.9,4.7,119270,72.5,4.8,"Fontana Unified School District, California",6,13920.0,Fontana Unified School District,613920,2018,,
9,10,9700000US0623080,66172,53.2,4.3,58118,51.8,4.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,16644,57.9,7.3,44615,50.3,2.7,45286,69.4,3.7,"Lucia Mar Unified School District, California",6,23080.0,Lucia Mar Unified School District,623080,2018,,
