,Unnamed: 0,Geography,NAME,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Unemployment rate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),District,NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
0,1,9700000US0632070,"Redlands Unified School District, California",103753,75568,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,27537,55600,73833,56.9,54.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.6,52.5,73.7,6.0,6.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.9,6.7,5.2,6,32070.0,Redlands Unified School District,632070,2019,,
1,2,9700000US0632550,"West Contra Costa Unified School District, California",205097,65715,32732,-999999999,44059,-999999999,51712,9171,70935,50324,155464,64.0,63.2,57.5,-999999999.0,63.4,-999999999.0,68.1,71.6,68.0,62.1,77.7,3.0,2.8,1.4,-999999999.0,2.9,-999999999.0,3.5,7.1,3.3,3.2,2.7,6,32550.0,West Contra Costa Unified School District,632550,2019,,
2,3,9700000US0633150,"Riverside Unified School District, California",215389,123698,14620,-999999999,19921,-999999999,44992,-999999999,101813,72819,163980,59.6,60.0,66.4,-999999999.0,47.0,-999999999.0,61.4,-999999999.0,63.0,57.8,71.6,4.8,3.9,3.3,-999999999.0,7.3,-999999999.0,6.8,-999999999.0,5.5,3.4,4.4,6,33150.0,Riverside Unified School District,633150,2019,,
3,4,9700000US0633750,"Rowland Unified School District, California",87017,20198,-999999999,-999999999,41285,-999999999,21700,-999999999,35679,7436,63374,60.3,54.4,-999999999.0,-999999999.0,60.7,-999999999.0,64.2,-999999999.0,60.6,53.4,73.7,6.8,3.0,-999999999.0,-999999999.0,7.5,-999999999.0,7.3,-999999999.0,5.5,6.1,6.5,6,33750.0,Rowland Unified School District,633750,2019,,
4,5,9700000US0633840,"Sacramento City Unified School District, California",274468,146375,29800,-999999999,49604,-999999999,27093,16922,70018,110510,205929,60.0,61.7,55.8,-999999999.0,54.4,-999999999.0,63.2,66.9,64.1,61.1,75.1,6.2,6.2,7.0,-999999999.0,3.9,-999999999.0,7.5,8.3,7.3,5.5,5.5,6,33840.0,Sacramento City Unified School District,633840,2019,,
5,6,9700000US0633860,"Saddleback Valley Unified School District, California",183097,129269,-999999999,-999999999,31693,-999999999,-999999999,-999999999,34451,109196,126824,63.5,64.2,-999999999.0,-999999999.0,59.9,-999999999.0,-999999999.0,-999999999.0,73.5,61.8,81.4,2.9,2.6,-999999999.0,-999999999.0,3.6,-999999999.0,-999999999.0,-999999999.0,2.4,2.7,2.8,6,33860.0,Saddleback Valley Unified School District,633860,2019,,
6,7,9700000US0634170,"San Bernardino City Unified School District, California",202719,123147,28915,-999999999,-999999999,-999999999,-999999999,-999999999,128366,30781,159290,57.5,60.3,46.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.9,49.7,66.5,5.8,5.5,11.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.7,6.0,5.4,6,34170.0,San Bernardino City Unified School District,634170,2019,,
7,8,9700000US0634320,"San Diego City Unified School District, California",926963,616073,62721,-999999999,153149,-999999999,46042,39318,244405,434151,724749,62.8,63.1,53.9,-999999999.0,62.3,-999999999.0,66.6,69.4,64.5,62.7,74.7,4.8,4.7,8.5,-999999999.0,4.1,-999999999.0,4.9,3.9,5.7,4.1,4.5,6,34320.0,San Diego City Unified School District,634320,2019,,
8,9,9700000US0634410,"San Francisco Unified School District, California",774619,358092,42213,-999999999,279283,-999999999,57113,32041,108878,318241,607791,69.6,73.9,56.1,-999999999.0,65.2,-999999999.0,70.4,76.4,71.2,74.4,83.1,3.7,3.1,7.6,-999999999.0,3.5,-999999999.0,5.8,4.6,6.1,2.6,3.4,6,34410.0,San Francisco Unified School District,634410,2019,,
9,10,9700000US0615180,"Gilroy Unified School District, California",-999999999,34744,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,26659,13180,-999999999,-999999999.0,59.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.5,51.0,-999999999.0,-999999999.0,5.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.2,1.8,-999999999.0,6,15180.0,Gilroy Unified School District,615180,2019,,
