,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
1,94609,72877,61.2,74.1,6.8,6.6,0602310,2016,Elementary
2,161824,131073,63.9,74.4,5.5,5.2,0602610,2016,Elementary
3,135056,104300,51.2,60.8,13.1,12.6,0603630,2016,Elementary
4,68849,53950,62.2,74.4,6.8,6.6,0604800,2016,Elementary
5,78600,61660,64.2,76.7,3.9,3.6,0605580,2016,Elementary
6,93404,73507,60.2,71.7,7.0,7.2,0606390,2016,Elementary
7,135574,103385,55.8,67.0,8.8,8.8,0606810,2016,Elementary
8,84547,67719,65.5,78.0,3.8,3.9,0607200,2016,Elementary
9,241767,185621,57.2,69.9,9.6,8.5,0608610,2016,Elementary
10,113102,85730,60.0,73.4,3.7,3.7,0610290,2016,Elementary
11,56885,44785,58.8,70.0,6.6,6.1,0611850,2016,Elementary
12,70873,52959,54.5,68.7,5.4,5.3,0612090,2016,Elementary
13,59827,43325,64.0,77.3,3.0,2.8,0612750,2016,Elementary
14,132981,104710,63.9,74.7,6.0,5.8,0612880,2016,Elementary
15,75447,61290,61.3,70.0,4.9,4.7,0612960,2016,Elementary
16,80886,58157,60.9,77.2,5.0,4.5,0613140,2016,Elementary
17,55142,39488,40.5,49.1,2.1,2.2,0613500,2016,Elementary
18,76071,60335,61.9,72.2,7.1,7.1,0614370,2016,Elementary
19,97765,74442,60.9,73.4,6.7,6.3,0614730,2016,Elementary
20,68733,47060,57.1,72.0,9.5,6.0,0615510,2016,Elementary
21,57771,48383,65.8,75.8,5.7,5.7,0616680,2016,Elementary
22,71164,51979,63.1,79.2,2.4,2.2,0618030,2016,Elementary
23,78390,60117,65.6,78.3,6.0,6.4,0618870,2016,Elementary
24,110199,85135,58.6,71.7,8.0,8.2,0620250,2016,Elementary
25,92528,72556,48.1,56.5,6.2,6.2,0620880,2016,Elementary
26,47539,38437,59.4,70.4,6.1,6.4,0623430,2016,Elementary
27,69912,47524,51.3,68.2,7.5,5.1,0624540,2016,Elementary
28,66490,50611,50.2,61.6,14.9,12.7,0624600,2016,Elementary
29,86082,66370,51.1,62.5,12.2,12.1,0625130,2016,Elementary
30,55667,45838,68.3,79.3,3.7,3.6,0626280,2016,Elementary
31,60408,43952,60.4,74.1,7.8,7.8,0627180,2016,Elementary
32,86808,70407,68.7,79.4,5.1,5.0,0627810,2016,Elementary
33,95250,74986,51.1,61.4,9.3,8.5,0629580,2016,Elementary
34,82822,62155,63.5,77.4,5.3,5.3,0628140,2016,Elementary
35,133468,108055,58.0,67.4,10.1,9.3,0628470,2016,Elementary
36,96238,74235,62.6,76.1,6.5,6.0,0629220,2016,Elementary
37,65078,44229,60.3,78.1,3.7,3.0,0630990,2016,Elementary
38,85170,69133,68.8,79.0,2.4,2.0,0632130,2016,Elementary
39,75263,55151,58.1,73.3,5.1,4.6,0633600,2016,Elementary
40,57700,45468,62.1,72.9,4.5,4.4,0633930,2016,Elementary
41,112664,85951,67.7,82.1,2.2,2.0,0634920,2016,Elementary
42,59126,41080,56.8,71.5,8.7,6.0,0635590,2016,Elementary
43,61410,47525,63.3,72.8,6.3,7.0,0635810,2016,Elementary
44,85551,68880,66.8,77.1,5.5,5.1,0635970,2016,Elementary
45,68587,52245,52.4,64.5,13.9,13.1,0637380,2016,Elementary
46,49169,38665,64.1,76.0,6.2,5.8,0638220,2016,Elementary
47,76665,63552,69.5,80.0,3.9,3.8,0638460,2016,Elementary
48,60926,45997,58.1,72.3,8.3,7.7,0638670,2016,Elementary
49,73616,56454,47.2,57.8,16.2,15.6,0641040,2016,Elementary
50,53786,42318,51.7,62.3,6.8,5.9,0642120,2016,Elementary
51,67232,50362,57.1,71.5,5.5,5.7,0642150,2016,Elementary
52,53140,40146,60.3,74.1,5.5,5.5,0642450,2016,Elementary
