,Geography,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (ELEMENTARY),District,NCESDist,year
1,9500000US0620880,81690,48.4,9.2,46907,51.2,6.5,17546,36.2,20.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,10752,54.1,10.3,-999999999,-999999999.0,-999999999.0,32765,49.9,6.9,25659,54.2,7.6,62238,58.9,8.7,"Lancaster Elementary School District, California",06,20880,Lancaster Elementary School District,0620880,2018
2,9500000US0627180,59108,60.9,5.0,43101,60.4,5.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,32299,57.5,7.5,44752,73.3,5.0,"Newhall Elementary School District, California",06,27180,Newhall Elementary School District,0627180,2018
3,9500000US0642150,69721,56.5,5.7,27117,55.6,5.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,34257,54.0,4.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,16061,59.7,9.4,17763,56.2,4.9,51164,72.7,5.4,"Westminster School District, California",06,42150,Westminster School District,0642150,2018
4,9500000US0628470,143249,63.3,6.1,65946,63.6,3.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,9227,56.6,11.8,-999999999,-999999999.0,-999999999.0,56123,65.1,7.9,-999999999,-999999999.0,-999999999.0,106801,65.7,5.9,19017,56.3,4.1,113697,74.4,5.5,"Ontario-Montclair School District, California",06,28470,Ontario-Montclair School District,0628470,2018
5,9500000US0639870,44492,61.1,6.2,35877,62.1,4.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,28693,63.3,7.3,12566,61.7,2.5,35152,69.8,6.6,"Tulare City Elementary School District, California",06,39870,Tulare City Elementary School District,0639870,2018
6,9500000US0642450,51933,62.1,3.6,24790,61.5,4.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,21363,64.7,2.2,-999999999,-999999999.0,-999999999.0,39045,63.5,4.0,8502,59.5,1.5,40434,75.7,3.3,"Whittier City Elementary School District, California",06,42450,Whittier City Elementary School District,0642450,2018
7,9500000US0613500,54425,38.5,8.5,45342,39.7,7.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,18935,48.7,8.4,30653,32.5,9.4,38799,48.1,8.1,"Fallbrook Union Elementary School District, California",06,13500,Fallbrook Union Elementary School District,0613500,2018
8,9500000US0620250,113134,61.5,4.0,83615,61.0,3.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,33339,67.4,2.7,58232,57.8,3.3,86313,74.9,3.8,"La Mesa-Spring Valley School District, California",06,20250,La Mesa-Spring Valley School District,0620250,2018
9,9500000US0614370,70871,63.3,5.4,21874,61.5,4.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,31059,62.5,3.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,27418,67.8,4.7,-999999999,-999999999.0,-999999999.0,54795,75.2,4.4,"Franklin-McKinley Elementary School District, California",06,14370,Franklin-McKinley Elementary School District,0614370,2018
10,9500000US0618870,81646,67.5,4.5,17826,59.9,7.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,49967,68.9,4.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,10523,53.7,10.3,62647,81.7,4.4,"Jefferson Elementary School District (San Mateo County), California",06,18870,Jefferson Elementary School District (San Mateo County),0618870,2018
11,9500000US0602310,94329,64.4,4.8,23188,63.6,2.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,31425,61.9,3.0,-999999999,-999999999.0,-999999999.0,33388,67.4,7.9,-999999999,-999999999.0,-999999999.0,52386,67.1,5.9,6143,54.6,4.4,72389,77.4,4.7,"Alum Rock Union Elementary School District, California",06,02310,Alum Rock Union Elementary School District,0602310,2018
12,9500000US0605910,-999999999,-999999999.0,-999999999.0,35836,58.4,4.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,29926,57.8,5.3,-999999999,-999999999.0,-999999999.0,"Brentwood Union Elementary School District, California",06,05910,Brentwood Union Elementary School District,0605910,2018
13,9500000US0606810,131438,58.2,5.3,105200,57.7,5.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,27537,65.4,3.0,87395,55.8,6.5,99951,71.2,5.0,"Cajon Valley Union Elementary School District, California",06,06810,Cajon Valley Union Elementary School District,0606810,2018
14,9500000US0641040,73301,47.6,8.8,46010,49.7,8.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,31682,48.9,8.2,22142,49.6,10.0,55510,59.8,6.9,"Victor Elementary School District, California",06,41040,Victor Elementary School District,0641040,2018
15,9500000US0618030,70911,61.2,3.2,52538,61.5,3.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,48319,62.2,3.4,51451,77.8,2.8,"Huntington Beach City Elementary School District, California",06,18030,Huntington Beach City Elementary School District,0618030,2018
16,9500000US0624540,76751,49.7,9.1,50455,47.6,9.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,23689,56.6,8.0,38037,45.6,7.7,54284,64.5,8.7,"Menifee Union School District, California",06,24540,Menifee Union School District,0624540,2018
17,9500000US0633930,60096,59.3,5.5,23717,61.3,2.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,44501,60.8,6.4,10843,53.6,2.7,46128,70.9,6.0,"Salinas City Elementary School District, California",06,33930,Salinas City Elementary School District,0633930,2018
