,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NCESDist,year,School District Type
1,171523,63.4,4.5,123554,77.6,3.9,0635830,2018,Secondary
2,100398,56.8,3.0,66183,74.0,3.1,0601650,2018,Secondary
3,88360,53.2,5.9,57518,70.1,4.5,0606019,2018,Secondary
4,197804,67.1,4.5,150180,81.6,4.2,0634980,2018,Secondary
5,136318,60.4,5.1,104807,71.3,5.3,0633980,2018,Secondary
6,80061,49.6,8.5,57090,62.5,8.3,0636600,2018,Secondary
7,266958,60.8,3.9,194212,77.4,3.7,0618060,2018,Secondary
8,153707,61.5,3.5,111513,78.6,2.9,0633630,2018,Secondary
9,212478,62.6,5.4,166464,72.7,5.4,0642510,2018,Secondary
10,53770,44.8,10.9,43248,52.8,10.9,0610860,2018,Secondary
11,129185,68.2,4.0,98429,82.5,3.9,0618930,2018,Secondary
12,62501,61.2,2.5,44553,77.2,2.5,0635110,2018,Secondary
13,393289,55.5,8.2,304721,67.6,7.5,0638640,2018,Secondary
14,184924,66.6,2.9,147521,79.5,2.8,0614430,2018,Secondary
15,283465,50.9,6.9,213664,63.0,6.4,0602820,2018,Secondary
16,140370,59.9,3.8,105233,72.8,3.4,0612910,2018,Secondary
17,100223,60.7,4.7,70749,76.3,4.8,0621600,2018,Secondary
18,183048,67.8,2.7,143076,80.4,2.8,0607230,2018,Secondary
19,203955,64.5,5.1,156844,77.9,4.7,0614760,2018,Secondary
20,384331,59.2,5.2,292878,71.9,5.0,0616230,2018,Secondary
21,115026,62.9,5.2,87728,74.4,5.6,0635670,2018,Secondary
22,95733,63.9,2.5,62202,80.9,2.4,0638790,2018,Secondary
23,58345,56.4,7.7,39320,69.7,5.5,0699011,2018,Secondary
24,442275,64.6,4.6,342995,77.4,4.4,0611820,2018,Secondary
25,119878,55.5,4.2,80322,72.7,4.6,0612070,2018,Secondary
26,212514,56.3,8.1,162581,68.2,8.1,0625150,2018,Secondary
27,137213,58.9,5.5,97495,74.1,5.6,0634380,2018,Secondary
28,137294,57.1,7.9,103518,70.5,7.2,0612120,2018,Secondary
29,319829,64.7,4.3,249958,76.9,4.0,0602630,2018,Secondary
30,342018,63.3,5.0,269580,74.8,4.6,0608160,2018,Secondary
31,56224,38.9,8.5,40090,48.7,8.2,0613530,2018,Secondary
32,70398,49.6,3.8,41843,69.7,3.2,0626880,2018,Secondary
33,133085,52.3,11.4,97474,65.2,9.4,0624660,2018,Secondary
34,476721,55.4,9.2,369499,66.3,8.8,0619540,2018,Secondary
35,61778,64.4,2.0,44789,78.7,2.1,0630250,2018,Secondary
36,264127,62.4,5.0,202149,75.1,4.8,0629270,2018,Secondary
37,180579,59.1,4.5,138665,72.9,4.3,0642480,2018,Secondary
38,114272,54.4,7.7,82880,68.5,7.0,0606034,2018,Secondary
39,118235,69.9,4.4,98628,79.7,4.1,0607920,2018,Secondary
40,53567,59.7,5.3,41283,72.1,5.1,0616500,2018,Secondary
41,210381,66.3,3.8,159619,78.2,4.0,0636390,2018,Secondary
42,116166,45.9,8.5,90657,56.1,6.9,0636972,2018,Secondary
43,93496,67.2,2.7,74250,79.7,2.3,0626310,2018,Secondary
44,74234,49.0,3.5,46503,68.7,3.3,0630750,2018,Secondary
45,59999,57.8,8.5,47576,66.3,8.5,0639930,2018,Secondary
