,Geography,NAME,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Unemployment rate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (SECONDARY),District,NCESDist,year
1,9600000US0619540,"Kern High School District, California",468218,327395,23663,-999999999,26162,-999999999,71008,-999999999,247295,159966,359791,55.0,54.8,49.6,-999999999.0,55.2,-999999999.0,59.7,-999999999.0,56.9,53.5,66.9,7.4,6.8,10.5,-999999999.0,2.9,-999999999.0,9.2,-999999999.0,8.4,5.4,6.7,06,19540,Kern High School District,0619540,2019
2,9600000US0606034,"Perris Union High School District (9-12), California",109418,65306,10888,-999999999,-999999999,-999999999,22125,-999999999,46546,44372,78462,54.8,51.9,56.6,-999999999.0,-999999999.0,-999999999.0,63.0,-999999999.0,62.4,46.7,72.0,7.4,6.5,18.1,-999999999.0,-999999999.0,-999999999.0,4.2,-999999999.0,4.2,8.3,5.4,06,06034,Perris Union High School District (9-12),0606034,2019
3,9600000US0602820,"Antelope Valley Union Joint High School District, California",292413,188813,49090,-999999999,13442,-999999999,26941,8983,140820,83621,223546,52.0,51.4,50.2,-999999999.0,52.8,-999999999.0,60.5,52.0,55.2,48.3,63.7,6.4,5.3,5.6,-999999999.0,7.1,-999999999.0,6.8,15.0,5.6,7.4,6.2,06,02820,Antelope Valley Union Joint High School District,0602820,2019
4,9600000US0606019,"Santa Barbara Unified School District (7-12), California",93354,64296,-999999999,-999999999,12788,-999999999,-999999999,-999999999,20288,54357,60383,53.4,54.2,-999999999.0,-999999999.0,40.7,-999999999.0,-999999999.0,-999999999.0,59.1,53.3,68.7,7.4,6.0,-999999999.0,-999999999.0,14.9,-999999999.0,-999999999.0,-999999999.0,7.4,5.7,5.4,06,06019,Santa Barbara Unified School District (7-12),0606019,2019
5,9600000US0601650,"Acalanes Union High School District, California",95161,76179,-999999999,-999999999,11073,-999999999,-999999999,-999999999,-999999999,72188,60424,56.4,54.2,-999999999.0,-999999999.0,63.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,53.2,76.3,4.2,3.6,-999999999.0,-999999999.0,8.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.3,3.9,06,01650,Acalanes Union High School District,0601650,2019
6,9600000US0602630,"Anaheim Union High School District, California",324683,191010,11262,-999999999,81583,-999999999,28781,-999999999,151282,73697,255737,64.9,65.0,67.0,-999999999.0,61.4,-999999999.0,71.6,-999999999.0,68.4,61.0,76.6,4.0,4.6,7.2,-999999999.0,3.1,-999999999.0,2.3,-999999999.0,3.6,5.5,3.9,06,02630,Anaheim Union High School District,0602630,2019
7,9600000US0607230,"Campbell Union High School District, California",182855,112306,-999999999,-999999999,46918,-999999999,-999999999,7962,29752,91489,144318,66.5,66.2,-999999999.0,-999999999.0,66.8,-999999999.0,-999999999.0,62.7,76.5,63.4,78.8,3.0,2.7,-999999999.0,-999999999.0,3.0,-999999999.0,-999999999.0,3.1,4.8,2.1,3.1,06,07230,Campbell Union High School District,0607230,2019
8,9600000US0607920,"Centinela Valley Union High School District, California",114726,63839,-999999999,-999999999,-999999999,-999999999,19271,-999999999,75526,11128,93421,68.0,68.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,69.3,-999999999.0,71.3,60.7,78.5,3.9,3.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.6,-999999999.0,4.0,0.9,3.3,06,07920,Centinela Valley Union High School District,0607920,2019
9,9600000US0608160,"Chaffey Joint Union High School District, California",338709,200604,24558,-999999999,36882,-999999999,54907,-999999999,180008,87754,266457,64.3,63.8,59.7,-999999999.0,64.8,-999999999.0,64.7,-999999999.0,67.1,59.4,75.7,4.2,4.2,4.8,-999999999.0,3.2,-999999999.0,3.6,-999999999.0,3.8,4.2,4.0,06,08160,Chaffey Joint Union High School District,0608160,2019
10,9600000US0699011,"Santa Cruz City High School District (6-12), California",58894,43029,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,35564,42991,60.6,63.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.0,72.3,5.5,4.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.7,4.1,06,99011,Santa Cruz City High School District (6-12),0699011,2019
