,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),NCESDist,year
1,74447,61671,-999999999,-999999999,-999999999,-999999999,5861,-999999999,40495,27681,58032,50.4,50.6,-999999999,-999999999,-999999999,-999999999,48.4,-999999999,49.9,51.7,61.2,14.7,14.3,-999999999,-999999999,-999999999,-999999999,10.2,-999999999,14.6,12.3,13.8,06,00014,0600014,2015
2,63117,38791,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,23477,28372,47536,58.9,54.9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,63.3,54.2,72.4,3.7,4.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,1.7,5.6,3.3,06,00016,0600016,2015
3,60729,49133,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,16282,35931,41043,45.6,46.1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,47.1,44.9,61.5,11.9,11.9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,16.4,9.8,10.7,06,00017,0600017,2015
4,61495,38338,-999999999,-999999999,17354,-999999999,-999999999,-999999999,-999999999,34929,46442,63.4,60.7,-999999999,-999999999,68.5,-999999999,-999999999,-999999999,-999999999,61,76.7,3.9,3.2,-999999999,-999999999,5.8,-999999999,-999999999,-999999999,-999999999,3.3,3.5,06,00020,0600020,2015
5,100489,66259,-999999999,-999999999,-999999999,-999999999,20013,-999999999,40178,47470,77187,53.9,53.3,-999999999,-999999999,-999999999,-999999999,57.8,-999999999,55.9,53.3,66.2,9.6,9.3,-999999999,-999999999,-999999999,-999999999,6.8,-999999999,8.6,8.6,8.1,06,00027,0600027,2015
6,119914,85632,-999999999,-999999999,12642,-999999999,-999999999,-999999999,34196,64798,92804,58.6,57.7,-999999999,-999999999,53.1,-999999999,-999999999,-999999999,62.8,56,70.5,8.5,10.1,-999999999,-999999999,4.5,-999999999,-999999999,-999999999,8.8,10,7.6,06,00028,0600028,2015
7,86904,58013,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,21439,46269,65559,53.6,51.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,60,52.3,66.3,11.2,10.8,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,13,8.6,11.1,06,00029,0600029,2015
8,56565,41845,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,37992,46691,70.4,70.8,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,70.8,80.3,5.5,4.9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,5.4,5.5,06,00032,0600032,2015
9,60666,30524,-999999999,-999999999,13496,-999999999,-999999999,-999999999,-999999999,19759,52973,70.5,73.4,-999999999,-999999999,66.5,-999999999,-999999999,-999999999,-999999999,72.2,77.4,4.3,3,-999999999,-999999999,7.1,-999999999,-999999999,-999999999,-999999999,3.2,4.1,06,00036,0600036,2015
10,60336,37677,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,21901,24328,47430,64.2,66.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,61.4,68.1,76.1,8,5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,8.2,5.5,7.2,06,00047,0600047,2015
