,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (ELEMENTARY),NCESDist,year
1,94609,26440,-999999999,-999999999,29185,-999999999,30955,-999999999,50904,9293,72877,61.2,54.8,-999999999.0,-999999999.0,57.6,-999999999.0,69.1,-999999999.0,64.9,49.9,74.1,6.8,9.4,-999999999.0,-999999999.0,4.0,-999999999.0,5.3,-999999999.0,7.4,6.3,6.6,06,02310,0602310,2016
2,161824,116572,-999999999,-999999999,25429,-999999999,-999999999,-999999999,97414,32838,131073,63.9,64.1,-999999999.0,-999999999.0,61.9,-999999999.0,-999999999.0,-999999999.0,66.6,57.9,74.4,5.5,5.3,-999999999.0,-999999999.0,5.5,-999999999.0,-999999999.0,-999999999.0,5.5,6.2,5.2,06,02610,0602610,2016
3,135056,85941,-999999999,-999999999,-999999999,-999999999,27228,-999999999,81189,36077,104300,51.2,52.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,55.5,-999999999.0,53.7,48.7,60.8,13.1,11.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,15.3,-999999999.0,14.5,9.0,12.6,06,03630,0603630,2016
4,68849,13905,-999999999,-999999999,46246,-999999999,-999999999,-999999999,-999999999,10470,53950,62.2,53.1,-999999999.0,-999999999.0,64.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,55.5,74.4,6.8,9.3,-999999999.0,-999999999.0,5.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.8,6.6,06,04800,0604800,2016
5,78600,61841,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,55589,15045,61660,64.2,64.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,69.5,43.1,76.7,3.9,3.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.1,3.1,3.6,06,05580,0605580,2016
6,93404,61217,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,34505,39484,73507,60.2,57.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,65.8,52.4,71.7,7.0,8.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.4,7.7,7.2,06,06390,0606390,2016
7,135574,100773,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,31832,86985,103385,55.8,54.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.9,52.4,67.0,8.8,8.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.6,9.3,8.8,06,06810,0606810,2016
8,84547,49802,-999999999,-999999999,19299,-999999999,-999999999,-999999999,-999999999,39771,67719,65.5,63.5,-999999999.0,-999999999.0,69.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.2,78.0,3.8,3.7,-999999999.0,-999999999.0,4.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.0,3.9,06,07200,0607200,2016
9,241767,163835,-999999999,-999999999,38788,-999999999,16703,-999999999,137259,51603,185621,57.2,56.9,-999999999.0,-999999999.0,56.2,-999999999.0,64.0,-999999999.0,59.6,51.3,69.9,9.6,9.8,-999999999.0,-999999999.0,7.5,-999999999.0,8.7,-999999999.0,11.4,6.5,8.5,06,08610,0608610,2016
10,113102,36988,-999999999,-999999999,69956,-999999999,-999999999,-999999999,-999999999,34938,85730,60.0,54.6,-999999999.0,-999999999.0,62.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,54.4,73.4,3.7,3.1,-999999999.0,-999999999.0,4.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.2,3.7,06,10290,0610290,2016
