,Geography,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (ELEMENTARY),District,NCESDist,year
1,9500000US0602310,91208,22046,-999999999,-999999999,32735,-999999999,30186,-999999999,47489,7588,68829,63.0,59.0,-999999999.0,-999999999.0,58.2,-999999999.0,70.5,-999999999.0,66.9,57.1,76.7,4.3,2.4,-999999999.0,-999999999.0,4.0,-999999999.0,4.4,-999999999.0,4.7,1.6,4.1,"Alum Rock Union Elementary School District, California",06,02310,Alum Rock Union Elementary School District,0602310,2017
2,9500000US0602610,159220,96096,-999999999,-999999999,26410,-999999999,27441,-999999999,95310,31109,128711,62.6,61.0,-999999999.0,-999999999.0,59.5,-999999999.0,70.1,-999999999.0,65.1,57.1,72.6,6.1,6.0,-999999999.0,-999999999.0,4.3,-999999999.0,6.9,-999999999.0,6.0,7.0,5.3,"Anaheim Elementary School District, California",06,02610,Anaheim Elementary School District,0602610,2017
3,9500000US0603630,138323,98187,11290,-999999999,-999999999,-999999999,19848,-999999999,84099,35622,105055,50.9,50.7,42.3,-999999999.0,-999999999.0,-999999999.0,56.1,-999999999.0,52.5,49.1,61.7,12.2,10.2,29.4,-999999999.0,-999999999.0,-999999999.0,12.7,-999999999.0,11.9,6.7,10.3,"Bakersfield City School District, California",06,03630,Bakersfield City School District,0603630,2017
4,9500000US0604800,66868,12131,-999999999,-999999999,44025,-999999999,-999999999,-999999999,10461,9008,50046,61.7,58.1,-999999999.0,-999999999.0,61.6,-999999999.0,-999999999.0,-999999999.0,64.9,53.2,76.9,5.2,7.4,-999999999.0,-999999999.0,4.3,-999999999.0,-999999999.0,-999999999.0,4.8,8.6,5.0,"Berryessa Union Elementary School District, California",06,04800,Berryessa Union Elementary School District,0604800,2017
5,9500000US0605580,78914,63144,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,57502,14080,62794,63.3,63.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.0,64.3,73.7,4.6,4.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.7,1.3,4.6,"Santa Maria-Bonita Elementary School District, California",06,05580,Santa Maria-Bonita Elementary School District,0605580,2017
6,9500000US0605910,-999999999,37026,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,32253,-999999999,-999999999.0,57.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,57.6,-999999999.0,-999999999.0,4.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.3,-999999999.0,"Brentwood Union Elementary School District, California",06,05910,Brentwood Union Elementary School District,0605910,2017
7,9500000US0606390,103262,73362,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,38275,43987,79741,58.4,58.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.4,53.6,71.3,6.5,6.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.0,7.9,6.3,"Panama-Buena Vista School District, California",06,06390,Panama-Buena Vista School District,0606390,2017
8,9500000US0606810,133016,102365,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,29043,84632,102113,61.1,60.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,70.5,58.0,73.0,5.8,4.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.8,4.9,5.5,"Cajon Valley Union Elementary School District, California",06,06810,Cajon Valley Union Elementary School District,0606810,2017
9,9500000US0607200,78809,48063,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,37191,63162,69.0,68.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,65.7,80.4,2.4,2.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.9,2.1,"Campbell Union Elementary School District, California",06,07200,Campbell Union Elementary School District,0607200,2017
10,9500000US0608610,245086,160633,14841,-999999999,37437,-999999999,17905,-999999999,140920,46835,186727,56.1,56.9,50.4,-999999999.0,57.6,-999999999.0,59.2,-999999999.0,58.5,51.5,70.3,9.9,9.8,13.7,-999999999.0,6.4,-999999999.0,7.5,-999999999.0,10.9,6.3,7.9,"Chula Vista Elementary School District, California",06,08610,Chula Vista Elementary School District,0608610,2017
11,9500000US0610290,118184,37522,-999999999,-999999999,75103,-999999999,-999999999,-999999999,-999999999,34071,89246,62.1,58.4,-999999999.0,-999999999.0,63.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,57.2,76.8,3.7,4.8,-999999999.0,-999999999.0,2.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.9,3.8,"Cupertino Union Elementary School District, California",06,10290,Cupertino Union Elementary School District,0610290,2017
12,9500000US0611850,54905,30158,-999999999,-999999999,-999999999,-999999999,19842,-999999999,36938,13755,40168,60.5,55.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,67.9,-999999999.0,63.6,52.5,76.6,2.9,4.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0.8,-999999999.0,2.3,5.0,2.9,"East Whittier City Elementary School District, California",06,11850,East Whittier City Elementary School District,0611850,2017
