,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NCESDist,year,School District Type
1,81690,48.4,9.2,62238,58.9,8.7,0620880,2018,Elementary
2,59108,60.9,5.0,44752,73.3,5.0,0627180,2018,Elementary
3,69721,56.5,5.7,51164,72.7,5.4,0642150,2018,Elementary
4,143249,63.3,6.1,113697,74.4,5.5,0628470,2018,Elementary
5,44492,61.1,6.2,35152,69.8,6.6,0639870,2018,Elementary
6,51933,62.1,3.6,40434,75.7,3.3,0642450,2018,Elementary
7,54425,38.5,8.5,38799,48.1,8.1,0613500,2018,Elementary
8,113134,61.5,4.0,86313,74.9,3.8,0620250,2018,Elementary
9,70871,63.3,5.4,54795,75.2,4.4,0614370,2018,Elementary
10,81646,67.5,4.5,62647,81.7,4.4,0618870,2018,Elementary
11,94329,64.4,4.8,72389,77.4,4.7,0602310,2018,Elementary
12,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,0605910,2018,Elementary
13,131438,58.2,5.3,99951,71.2,5.0,0606810,2018,Elementary
14,73301,47.6,8.8,55510,59.8,6.9,0641040,2018,Elementary
15,70911,61.2,3.2,51451,77.8,2.8,0618030,2018,Elementary
16,76751,49.7,9.1,54284,64.5,8.7,0624540,2018,Elementary
17,60096,59.3,5.5,46128,70.9,6.0,0633930,2018,Elementary
18,68792,52.7,7.0,45873,68.8,5.4,0615510,2018,Elementary
19,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,0626280,2018,Elementary
20,66888,62.2,4.4,50632,76.6,4.1,0611850,2018,Elementary
21,74528,64.0,5.7,58123,74.2,6.2,0605580,2018,Elementary
22,50895,61.5,7.1,42008,69.9,7.3,0617850,2018,Elementary
23,58345,56.4,7.7,39320,69.7,5.5,0635590,2018,Elementary
24,53245,61.2,5.2,40929,72.5,5.1,0623430,2018,Elementary
25,81398,67.2,5.1,64879,77.6,4.8,0635970,2018,Elementary
26,96833,55.1,7.5,73295,68.2,6.6,0629580,2018,Elementary
27,48889,64.4,6.1,38224,73.3,6.6,0638220,2018,Elementary
28,96656,62.7,5.7,74444,75.5,5.0,0614730,2018,Elementary
29,70474,66.5,4.9,55776,77.9,4.7,0604800,2018,Elementary
30,76267,67.0,3.0,59668,80.4,2.9,0607200,2018,Elementary
31,113011,66.3,4.6,85139,81.4,4.5,0634920,2018,Elementary
32,164380,66.4,4.1,131348,77.6,3.7,0602610,2018,Elementary
33,69163,49.3,13.2,48913,62.0,10.9,0624600,2018,Elementary
34,86791,69.1,3.6,67143,79.6,3.5,0632130,2018,Elementary
35,91217,54.1,10.6,72230,64.2,10.6,0625130,2018,Elementary
36,55046,54.8,5.7,39417,69.7,5.4,0638670,2018,Elementary
37,59420,52.5,3.6,45222,64.2,3.5,0642120,2018,Elementary
38,102582,59.0,6.6,78493,71.4,6.0,0606390,2018,Elementary
39,95863,61.7,4.7,73861,74.4,4.1,0629220,2018,Elementary
40,79674,60.8,4.4,58505,76.8,3.7,0633600,2018,Elementary
41,109484,60.7,2.6,82652,75.5,2.5,0610290,2018,Elementary
42,63817,51.5,9.6,49014,63.1,8.4,0637380,2018,Elementary
43,58937,59.7,4.3,40434,78.3,4.4,0612750,2018,Elementary
44,137294,60.0,3.8,103118,72.8,3.4,0612880,2018,Elementary
45,79657,65.9,3.8,60041,80.4,4.0,0628140,2018,Elementary
46,244339,60.3,8.6,190808,72.7,8.0,0608610,2018,Elementary
47,67250,60.6,4.7,45077,78.0,4.9,0630990,2018,Elementary
48,66604,55.9,7.0,49651,70.2,6.8,0612090,2018,Elementary
49,75440,75.2,3.3,64869,84.5,3.1,0638460,2018,Elementary
50,59129,71.5,3.0,49167,82.6,2.9,0616680,2018,Elementary
51,77827,64.0,4.3,61950,75.4,4.4,0612960,2018,Elementary
52,81658,58.7,4.9,58146,75.0,4.8,0613140,2018,Elementary
53,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,0635810,2018,Elementary
54,140021,55.0,10.4,110388,63.9,10.5,0603630,2018,Elementary
55,88969,67.9,3.7,71962,79.4,3.9,0627810,2018,Elementary
