,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 20 to 64 years,NCESDist,year,School District Type
1,56443,44142,61.6,73.1,5.2,5.2,0633930,2019,Elementary
2,114601,85308,67.6,82.5,3.1,3.1,0634920,2019,Elementary
3,86182,62230,62.0,77.4,6.4,5.2,0628140,2019,Elementary
4,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0626280,2019,Elementary
5,57044,42078,59.6,74.6,3.6,3.4,0627180,2019,Elementary
6,95966,75083,68.6,81.5,2.8,3.0,0627810,2019,Elementary
7,69118,52779,59.6,74.1,5.4,5.0,0642150,2019,Elementary
8,138160,105814,52.8,65.1,8.5,7.9,0603630,2019,Elementary
9,99085,76830,58.7,70.9,6.1,5.3,0606390,2019,Elementary
10,72475,53243,58.1,73.1,4.9,4.6,0612090,2019,Elementary
11,60660,44266,53.0,65.7,10.7,10.2,0637380,2019,Elementary
12,68327,46771,58.1,76.8,3.1,3.3,0630990,2019,Elementary
13,141394,114053,62.2,72.8,5.1,4.8,0628470,2019,Elementary
14,88149,65729,51.3,65.1,5.3,4.8,0620880,2019,Elementary
15,42017,33021,58.7,70.7,7.3,6.6,0639870,2019,Elementary
16,76781,65242,72.9,80.7,2.2,2.2,0638460,2019,Elementary
17,97365,74881,64.0,77.0,5.7,6.0,0602310,2019,Elementary
18,163233,133126,67.7,77.8,3.9,3.7,0602610,2019,Elementary
19,253212,194207,58.2,70.4,10.2,9.1,0608610,2019,Elementary
20,75372,60965,52.8,63.6,12.5,10.4,0641040,2019,Elementary
21,57794,42988,49.7,62.0,5.2,5.1,0642120,2019,Elementary
22,67832,48012,63.4,79.3,3.8,3.9,0618030,2019,Elementary
23,78013,59214,67.5,84.3,3.6,3.5,0618870,2019,Elementary
24,82879,62913,64.3,77.4,2.9,3.0,0635970,2019,Elementary
25,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0638670,2019,Elementary
26,51834,36923,59.2,74.9,4.4,3.5,0642450,2019,Elementary
27,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0616680,2019,Elementary
28,68335,53401,53.7,64.7,11.4,10.3,0624600,2019,Elementary
29,80657,62456,68.0,81.3,2.6,2.7,0632130,2019,Elementary
30,87944,67681,53.6,65.1,10.3,9.8,0625130,2019,Elementary
31,72819,57164,67.3,80.0,5.7,5.5,0604800,2019,Elementary
32,72870,55300,62.9,74.8,5.2,5.0,0605580,2019,Elementary
33,57575,44605,61.6,75.2,3.1,3.1,0611850,2019,Elementary
34,117638,88220,60.6,74.6,7.3,7.0,0620250,2019,Elementary
35,58894,42991,60.6,72.3,5.5,4.1,0635590,2019,Elementary
36,60349,47823,66.7,78.1,5.1,4.4,0635810,2019,Elementary
37,132709,97900,59.0,72.3,3.6,3.7,0612880,2019,Elementary
38,58080,39768,60.4,78.9,4.0,4.1,0612750,2019,Elementary
39,72988,57546,66.0,74.5,2.7,2.8,0612960,2019,Elementary
40,76122,55694,62.0,78.0,3.8,3.9,0613140,2019,Elementary
41,50449,40263,62.1,72.4,4.7,4.6,0623430,2019,Elementary
42,70381,53006,63.6,77.7,4.7,4.5,0614370,2019,Elementary
43,95960,72728,63.0,75.9,4.9,4.7,0614730,2019,Elementary
44,73097,48325,53.4,68.0,7.6,5.0,0615510,2019,Elementary
45,76415,53426,53.4,71.6,7.8,5.6,0624540,2019,Elementary
46,99469,74660,61.4,74.6,5.0,4.7,0629220,2019,Elementary
47,96878,78286,56.7,66.3,8.3,8.3,0629580,2019,Elementary
48,140589,104676,58.8,72.9,6.4,5.3,0606810,2019,Elementary
49,76846,61827,67.9,80.5,2.5,2.4,0607200,2019,Elementary
50,111391,81455,60.2,76.6,2.2,2.3,0610290,2019,Elementary
51,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0605910,2019,Elementary
52,82014,59313,63.8,81.5,3.1,2.7,0633600,2019,Elementary
