,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
1,94601,60947,55.6,74.3,5.7,5.9,0601650,2015,Secondary
2,318548,249796,62.2,75.1,6.1,5.7,0602630,2015,Secondary
3,282958,221396,48.7,58.9,9.4,8.5,0602820,2015,Secondary
4,93495,62669,54.5,67,5.6,4.8,0606019,2015,Secondary
5,181836,143439,66.1,78.1,4.5,4.4,0607230,2015,Secondary
6,128810,104873,62.5,72.7,6.6,6,0607920,2015,Secondary
7,312044,251964,62.4,73.2,7,6.5,0608160,2015,Secondary
8,51275,40024,47.9,58.2,14.7,14.6,0610860,2015,Secondary
9,438275,343685,61.4,73.6,6.9,6.4,0611820,2015,Secondary
10,120392,84541,52.9,68,8.5,8,0612070,2015,Secondary
11,144380,109561,53.3,67.3,5.3,5.2,0612120,2015,Secondary
12,136058,105037,60,72.4,7.7,7.2,0612910,2015,Secondary
13,69577,50780,40.5,48.2,4.7,4.5,0613530,2015,Secondary
14,187026,148240,63.8,76.8,5.2,5.2,0614430,2015,Secondary
15,203427,154974,58,71.1,8.8,7.7,0614760,2015,Secondary
16,383983,293754,57.7,70.6,8.4,7.6,0616230,2015,Secondary
17,52819,39334,53.8,66,9.4,9.2,0616500,2015,Secondary
18,266490,197930,61.5,75.8,5.1,4.8,0618060,2015,Secondary
19,131453,102078,63.5,75.4,6.7,7,0618930,2015,Secondary
20,467419,365741,55.7,66.3,11,10.5,0619540,2015,Secondary
21,90355,66745,57,71.7,7.4,7.4,0621600,2015,Secondary
22,130199,97556,46.9,58.4,13.5,11.1,0624660,2015,Secondary
23,208975,158011,51.8,63.2,12.7,12.2,0625150,2015,Secondary
24,88266,71793,69.8,80.6,3.1,3,0626310,2015,Secondary
25,73806,47150,45.6,62.5,9,8,0626880,2015,Secondary
26,251602,191199,58.2,70.8,7.3,6.9,0629270,2015,Secondary
27,133788,100712,51.1,63.5,10.4,10.1,0630210,2015,Secondary
28,63518,45540,61.1,74.4,5.8,5.5,0630250,2015,Secondary
29,72851,50043,51.9,68.2,7.6,6.8,0630750,2015,Secondary
30,144527,106930,57.8,73.7,5.9,5.5,0633630,2015,Secondary
31,129558,101723,59.2,70.3,6.5,5.7,0633980,2015,Secondary
32,146514,106652,59.5,73.8,4.7,3.8,0634380,2015,Secondary
33,193896,147750,65.7,79.9,4.6,4,0634980,2015,Secondary
34,61727,46043,60.5,73.1,2.9,3.2,0635110,2015,Secondary
35,86454,62885,56,68.2,6.3,4.9,0635600,2015,Secondary
36,110534,84856,63.1,75.1,6.8,6.7,0635670,2015,Secondary
37,172562,129357,61.2,74.1,6,5.1,0635830,2015,Secondary
38,203149,154994,64.1,76.7,4.4,4.4,0636390,2015,Secondary
39,81278,56065,52.2,66.2,4.6,4.6,0636600,2015,Secondary
40,119933,90013,42.8,54.2,17.4,15,0636972,2015,Secondary
41,387982,303427,55.6,66.9,8.4,8,0638640,2015,Secondary
42,96348,65205,62.3,79.3,3.2,3.1,0638790,2015,Secondary
43,57630,43497,52.4,65.7,6.1,5.1,0639930,2015,Secondary
44,186085,145658,58.3,70.6,6.2,5.9,0642480,2015,Secondary
45,218386,171082,62.9,74.6,6.3,5.6,0642510,2015,Secondary
