,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (SECONDARY),NCESDist,year
1,100100,79869,-999999999,-999999999,13001,-999999999,-999999999,-999999999,-999999999,74800,65530,59.5,59.3,-999999999.0,-999999999.0,56.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,57.8,78.9,3.4,3.2,-999999999.0,-999999999.0,0.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.2,2.0,06,01650,0601650,2016
2,319085,208406,-999999999,-999999999,68969,-999999999,19330,9666,151506,82185,248541,61.4,61.5,-999999999.0,-999999999.0,59.8,-999999999.0,68.0,55.9,65.4,56.0,74.0,5.3,5.3,-999999999.0,-999999999.0,4.3,-999999999.0,7.2,7.6,5.8,5.4,5.0,06,02630,0602630,2016
3,287277,167121,39528,-999999999,13655,-999999999,51603,12960,130322,97593,224249,49.5,51.7,34.8,-999999999.0,53.7,-999999999.0,53.9,44.8,51.3,52.5,59.5,7.9,6.5,14.5,-999999999.0,10.5,-999999999.0,7.2,11.3,6.3,7.0,7.4,06,02820,0602820,2016
4,87007,64169,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,19541,54665,57115,56.3,57.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.2,56.0,72.6,8.9,8.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.8,9.5,5.9,06,06019,0606019,2016
5,69912,44085,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,36089,47524,51.3,50.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,48.0,68.2,7.5,8.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.7,5.1,06,06034,0606034,2016
6,180987,110458,-999999999,-999999999,44126,-999999999,-999999999,-999999999,35931,89432,144432,65.6,65.0,-999999999.0,-999999999.0,67.5,-999999999.0,-999999999.0,-999999999.0,67.5,64.0,77.8,3.1,2.9,-999999999.0,-999999999.0,3.3,-999999999.0,-999999999.0,-999999999.0,2.7,3.2,3.1,06,07230,0607230,2016
7,119432,38338,16573,-999999999,-999999999,-999999999,43788,-999999999,74446,11519,97565,65.0,62.0,69.8,-999999999.0,-999999999.0,-999999999.0,70.5,-999999999.0,67.2,56.9,75.7,5.6,6.5,8.0,-999999999.0,-999999999.0,-999999999.0,4.8,-999999999.0,5.4,7.4,5.7,06,07920,0607920,2016
8,325335,182043,27357,-999999999,34503,-999999999,67271,-999999999,167540,89829,260795,60.4,60.8,58.3,-999999999.0,61.2,-999999999.0,59.3,-999999999.0,59.8,60.9,70.3,8.0,6.5,14.2,-999999999.0,2.5,-999999999.0,11.0,-999999999.0,10.4,3.9,7.3,06,08160,0608160,2016
9,51366,36661,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,41226,-999999999,41758,41.0,45.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,45.9,-999999999.0,47.6,16.1,17.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,16.8,-999999999.0,16.0,06,10860,0610860,2016
10,440448,133855,11327,-999999999,190395,-999999999,82523,17319,151523,77208,344261,63.6,60.9,63.1,-999999999.0,62.9,-999999999.0,68.9,65.3,66.3,59.1,75.8,6.2,6.4,5.1,-999999999.0,5.4,-999999999.0,7.3,9.6,7.2,6.1,6.0,06,11820,0611820,2016
11,115181,102955,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,94892,79678,52.1,51.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,50.2,67.9,5.3,5.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.4,5.2,06,12070,0612070,2016
12,136261,43030,-999999999,-999999999,52857,-999999999,35832,-999999999,73586,-999999999,102987,55.4,57.7,-999999999.0,-999999999.0,53.4,-999999999.0,57.3,-999999999.0,58.4,-999999999.0,69.0,6.6,8.4,-999999999.0,-999999999.0,5.4,-999999999.0,5.6,-999999999.0,7.6,-999999999.0,6.3,06,12120,0612120,2016
13,135411,101418,-999999999,-999999999,11606,-999999999,-999999999,-999999999,59651,56415,106438,63.6,62.1,-999999999.0,-999999999.0,69.8,-999999999.0,-999999999.0,-999999999.0,68.0,58.7,74.5,5.9,5.9,-999999999.0,-999999999.0,2.9,-999999999.0,-999999999.0,-999999999.0,4.8,6.6,5.7,06,12910,0612910,2016
14,57342,45333,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,34816,40993,40.9,41.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,38.5,49.9,2.2,1.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.3,2.2,06,13530,0613530,2016
