,Geography,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (SECONDARY),District,NCESDist,year
1,9600000US0601650,97561,76227,-999999999,-999999999,14138,-999999999,-999999999,-999999999,-999999999,70835,63029,58.3,56.5,-999999999.0,-999999999.0,61.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,56.0,77.7,2.7,2.6,-999999999.0,-999999999.0,1.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.8,2.8,"Acalanes Union High School District, California",06,01650,Acalanes Union High School District,0601650,2017
2,9600000US0602630,318227,186116,9757,-999999999,69838,-999999999,38737,9809,153500,78584,246046,60.9,60.3,55.3,-999999999.0,57.3,-999999999.0,69.8,65.3,64.3,57.8,73.5,5.3,4.7,10.9,-999999999.0,3.9,-999999999.0,6.5,10.2,5.3,5.1,4.6,"Anaheim Union High School District, California",06,02630,Anaheim Union High School District,0602630,2017
3,9600000US0602820,289577,164266,37928,-999999999,13639,-999999999,58193,10947,133503,95428,226691,51.1,50.8,47.3,-999999999.0,56.3,-999999999.0,57.0,41.2,52.3,51.2,61.3,6.5,4.7,8.9,-999999999.0,7.4,-999999999.0,6.7,13.3,6.1,4.8,6.3,"Antelope Valley Union Joint High School District, California",06,02820,Antelope Valley Union Joint High School District,0602820,2017
4,9600000US0606019,92779,64867,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,23938,54097,61782,57.7,57.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.5,56.3,72.1,7.4,4.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,11.7,3.8,6.7,"Santa Barbara Unified School District (7-12), California",06,06019,Santa Barbara Unified School District (7-12),0606019,2017
5,9600000US0606034,77263,48295,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,23436,40507,57799,54.0,51.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,57.9,50.1,67.0,6.5,4.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,9.6,4.8,6.5,"Perris Union High School District in Menifee (9-12), California",06,06034,Perris Union High School District in Menifee (9-12),0606034,2017
6,9600000US0607230,184603,115526,-999999999,-999999999,42020,-999999999,-999999999,7357,36194,92484,145847,67.7,66.9,-999999999.0,-999999999.0,67.5,-999999999.0,-999999999.0,65.3,75.8,63.9,79.5,3.2,3.2,-999999999.0,-999999999.0,2.8,-999999999.0,-999999999.0,4.5,2.2,3.7,3.1,"Campbell Union High School District, California",06,07230,Campbell Union High School District,0607230,2017
7,9600000US0607920,118543,39928,21881,-999999999,12257,-999999999,40735,-999999999,71368,12000,97457,65.3,62.9,63.5,-999999999.0,55.7,-999999999.0,71.0,-999999999.0,68.6,58.1,75.4,5.6,3.6,11.2,-999999999.0,2.9,-999999999.0,4.3,-999999999.0,4.1,5.7,5.1,"Centinela Valley Union High School District, California",06,07920,Centinela Valley Union High School District,0607920,2017
8,9600000US0608160,330347,184234,27291,-999999999,38384,-999999999,63379,13323,170668,86093,262183,62.6,61.7,60.6,-999999999.0,63.6,-999999999.0,66.4,58.4,63.3,61.5,73.7,5.9,5.8,7.1,-999999999.0,3.8,-999999999.0,6.5,8.5,7.2,4.0,5.2,"Chaffey Joint Union High School District, California",06,08160,Chaffey Joint Union High School District,0608160,2017
9,9600000US0610860,53777,36924,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,40171,-999999999,43607,48.2,51.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,51.5,-999999999.0,55.6,14.1,15.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,16.4,-999999999.0,13.8,"Delano Joint Union High School District, California",06,10860,Delano Joint Union High School District,0610860,2017
10,9600000US0611820,442231,129198,11863,-999999999,200308,-999999999,81201,13845,146793,71810,343077,64.1,62.9,62.2,-999999999.0,62.5,-999999999.0,70.9,66.2,66.9,61.8,77.1,4.7,5.5,6.5,-999999999.0,4.4,-999999999.0,3.7,5.9,4.7,5.4,4.4,"East Side Union High School District, California",06,11820,East Side Union High School District,0611820,2017
