,Geography,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (SECONDARY),District,NCESDist,year
1,9600000US0635830,171523,63.4,4.5,117490,61.0,5.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,33394,71.9,4.8,-999999999,-999999999.0,-999999999.0,53080,70.7,6.6,102148,59.7,3.8,123554,77.6,3.9,"Santa Rosa High School District, California",06,35830,Santa Rosa High School District,0635830,2018
2,9600000US0601650,100398,56.8,3.0,77341,55.2,3.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,14575,63.1,1.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,73192,54.7,2.8,66183,74.0,3.1,"Acalanes Union High School District, California",06,01650,Acalanes Union High School District,0601650,2018
3,9600000US0606019,88360,53.2,5.9,64466,53.8,5.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,11309,39.5,11.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,18707,65.6,4.4,54027,51.2,5.6,57518,70.1,4.5,"Santa Barbara Unified School District (7-12), California",06,06019,Santa Barbara Unified School District (7-12),0606019,2018
4,9600000US0634980,197804,67.1,4.5,99138,62.5,5.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,66001,70.9,3.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,32361,70.7,4.6,83904,61.8,4.7,150180,81.6,4.2,"San Mateo Union High School District, California",06,34980,San Mateo Union High School District,0634980,2018
5,9600000US0633980,136318,60.4,5.1,49842,60.4,5.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,9365,51.8,4.6,-999999999,-999999999.0,-999999999.0,71860,60.9,4.9,-999999999,-999999999.0,-999999999.0,99188,62.4,5.5,25466,55.7,3.8,104807,71.3,5.3,"Salinas Union High School District, California",06,33980,Salinas Union High School District,0633980,2018
6,9600000US0636600,80061,49.6,8.5,69283,48.7,7.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,65326,48.2,7.2,57090,62.5,8.3,"Shasta Union High School District, California",06,36600,Shasta Union High School District,0636600,2018
7,9600000US0618060,266958,60.8,3.9,158412,60.7,3.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,72499,55.1,3.4,-999999999,-999999999.0,-999999999.0,21873,76.4,5.1,-999999999,-999999999.0,-999999999.0,49748,67.5,6.1,133739,60.7,2.7,194212,77.4,3.7,"Huntington Beach Union High School District, California",06,18060,Huntington Beach Union High School District,0618060,2018
8,9600000US0633630,153707,61.5,3.5,119586,60.8,4.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,19713,63.2,2.3,104330,60.3,4.1,111513,78.6,2.9,"Roseville Joint Union High School District, California",06,33630,Roseville Joint Union High School District,0633630,2018
9,9600000US0642510,212478,62.6,5.4,152884,62.3,5.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,24698,61.1,3.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,65096,66.4,4.9,109741,61.8,5.7,166464,72.7,5.4,"William S. Hart Union High School District, California",06,42510,William S. Hart Union High School District,0642510,2018
10,9600000US0610860,53770,44.8,10.9,34743,45.0,12.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,38605,49.4,11.0,-999999999,-999999999.0,-999999999.0,43248,52.8,10.9,"Delano Joint Union High School District, California",06,10860,Delano Joint Union High School District,0610860,2018
