,District,Year,Total Enrollment,Percent Change,NCESDist,School District Type,"Population, 16+","Employment Ratio, 16+","Unemployment Rate, 16+","Population, 20-64","Employment Ratio, 20-64","Unemployment Rate, 20-64"
0,Rocklin Unified,2018,14070,3.814653582232716,600013,Unified,51542.0,59.9,5.6,38279.0,73.4,5.0
1,Rocklin Unified,2019,14125,0.3909026297085998,600013,Unified,51882.0,58.6,4.4,36253.0,75.1,4.1
2,Hesperia Unified,2015,23970,,600014,Unified,74447.0,50.4,14.7,58032.0,61.2,13.8
3,Hesperia Unified,2016,23829,-0.5882352941176471,600014,Unified,82334.0,48.6,8.7,62228.0,60.4,7.7
4,Hesperia Unified,2017,24138,1.2967392672793656,600014,Unified,80751.0,49.3,11.8,60671.0,62.7,8.9
5,Hesperia Unified,2018,24122,-0.0662855248985002,600014,Unified,77198.0,51.6,8.5,58684.0,64.6,6.8
6,Hesperia Unified,2019,24396,1.1358925462233649,600014,Unified,80008.0,51.9,6.8,62171.0,63.2,5.8
7,Upland Unified,2015,11138,,600016,Unified,63117.0,58.9,3.7,47536.0,72.4,3.3
8,Upland Unified,2016,11015,-1.1043275273837314,600016,Unified,63598.0,63.1,3.5,47083.0,76.1,3.4
9,Upland Unified,2017,10894,-1.0985020426690877,600016,Unified,61561.0,59.1,8.6,45840.0,73.0,8.0
10,Upland Unified,2018,10684,-1.9276666054709013,600016,Unified,60060.0,63.1,3.6,45026.0,76.7,3.4
11,Upland Unified,2019,10553,-1.2261325346312242,600016,Unified,64914.0,64.2,3.9,47629.0,78.7,4.1
12,Apple Valley Unified,2015,14217,,600017,Unified,60729.0,45.6,11.9,41043.0,61.5,10.7
13,Apple Valley Unified,2016,14349,0.9284659210803968,600017,Unified,63453.0,45.9,13.1,46795.0,58.1,13.1
14,Apple Valley Unified,2017,14403,0.3763328454944595,600017,Unified,62197.0,46.8,10.8,44084.0,63.2,9.3
15,Apple Valley Unified,2018,14631,1.5830035409289729,600017,Unified,62742.0,46.9,8.8,44667.0,60.7,8.4
16,Apple Valley Unified,2019,14715,0.5741234365388559,600017,Unified,62429.0,46.4,10.6,43467.0,62.1,9.6
17,Pleasanton Unified,2015,14710,,600020,Unified,61495.0,63.4,3.9,46442.0,76.7,3.5
18,Pleasanton Unified,2016,14728,0.1223657375934738,600020,Unified,62993.0,61.5,4.0,48061.0,73.9,3.5
19,Pleasanton Unified,2017,14792,0.4345464421510048,600020,Unified,68050.0,68.0,2.4,52046.0,81.0,2.5
20,Pleasanton Unified,2018,14895,0.696322336398053,600020,Unified,64058.0,65.6,2.8,47245.0,79.9,2.3
21,Pleasanton Unified,2019,14798,-0.6512252433702584,600020,Unified,65445.0,63.0,2.6,47727.0,77.4,2.6
22,Lake Elsinore Unified,2015,22191,,600027,Unified,100489.0,53.9,9.6,77187.0,66.2,8.1
23,Lake Elsinore Unified,2016,22020,-0.7705826686494525,600027,Unified,100634.0,58.9,8.2,80312.0,69.9,7.1
24,Lake Elsinore Unified,2017,21919,-0.4586739327883742,600027,Unified,103567.0,58.7,8.1,82855.0,68.6,7.9
25,Lake Elsinore Unified,2018,21801,-0.5383457274510698,600027,Unified,101381.0,58.7,6.1,75681.0,72.9,5.8
26,Lake Elsinore Unified,2019,21587,-0.9816063483326454,600027,Unified,104154.0,57.4,4.6,81163.0,70.2,4.2
27,Temecula Valley Unified,2015,29968,,600028,Unified,119914.0,58.6,8.5,92804.0,70.5,7.6
28,Temecula Valley Unified,2016,29890,-0.2602776294714362,600028,Unified,120506.0,58.7,7.8,92970.0,70.6,7.1
29,Temecula Valley Unified,2017,29958,0.2275008364001338,600028,Unified,124880.0,60.4,5.0,95470.0,72.1,4.8
30,Temecula Valley Unified,2018,29589,-1.2317244141798518,600028,Unified,124395.0,58.6,4.6,97665.0,70.5,4.0
31,Temecula Valley Unified,2019,29578,-0.037175977559228,600028,Unified,125632.0,59.7,4.1,95920.0,71.6,3.3
32,Murrieta Valley Unified,2015,22806,,600029,Unified,86904.0,53.6,11.2,65559.0,66.3,11.1
33,Murrieta Valley Unified,2016,22967,0.7059545733578882,600029,Unified,84976.0,57.9,8.6,66062.0,70.8,8.0
34,Murrieta Valley Unified,2017,23110,0.6226324726781904,600029,Unified,86824.0,55.3,8.1,61835.0,71.6,7.7
35,Murrieta Valley Unified,2018,23234,0.5365642578970143,600029,Unified,86160.0,63.5,5.2,66028.0,77.2,4.5
36,Murrieta Valley Unified,2019,23386,0.6542136524059567,600029,Unified,92851.0,58.6,5.6,68946.0,71.3,5.6
37,Redondo Beach Unified,2015,9492,,600032,Unified,56565.0,70.4,5.5,46691.0,80.3,5.5
38,Redondo Beach Unified,2016,9748,2.69700800674252,600032,Unified,,,,,,
39,Redondo Beach Unified,2017,9890,1.456709068526877,600032,Unified,55809.0,67.4,3.0,45247.0,79.4,2.8
40,Redondo Beach Unified,2018,9998,1.0920121334681496,600032,Unified,,,,,,
41,Redondo Beach Unified,2019,10071,0.7301460292058412,600032,Unified,,,,,,
42,Natomas Unified,2015,14287,,600036,Unified,60666.0,70.5,4.3,52973.0,77.4,4.1
43,Natomas Unified,2016,14620,2.3307902288794007,600036,Unified,,,,,,
44,Natomas Unified,2017,14880,1.7783857729138166,600036,Unified,62148.0,67.0,6.5,52288.0,75.8,5.9
45,Natomas Unified,2018,15271,2.6276881720430105,600036,Unified,66986.0,67.8,5.6,56659.0,77.7,5.4
46,Natomas Unified,2019,15569,1.9514111715015388,600036,Unified,68055.0,69.3,3.9,53500.0,81.9,3.4
47,Tracy Joint Unified,2015,16701,,600047,Unified,60336.0,64.2,8.0,47430.0,76.1,7.2
48,Tracy Joint Unified,2016,16413,-1.724447637865996,600047,Unified,62240.0,61.6,5.3,47597.0,75.4,4.6
49,Tracy Joint Unified,2017,16218,-1.1880826174373973,600047,Unified,63296.0,63.0,3.1,49441.0,76.3,2.8
50,Tracy Joint Unified,2018,15904,-1.9361203600937231,600047,Unified,64166.0,66.6,2.9,49764.0,78.4,2.5
51,Tracy Joint Unified,2019,15829,-0.4715794768611669,600047,Unified,66559.0,62.0,6.4,53630.0,71.4,5.9
52,Alhambra Unified,2015,17255,,600153,Unified,103718.0,56.8,5.0,78914.0,71.6,5.1
53,Alhambra Unified,2016,17024,-1.3387423935091278,600153,Unified,98402.0,56.3,4.9,70965.0,73.3,4.5
54,Alhambra Unified,2017,16794,-1.351033834586466,600153,Unified,104160.0,56.1,4.2,74765.0,73.3,4.0
55,Alhambra Unified,2018,16462,-1.9768965106585683,600153,Unified,100944.0,58.9,4.3,73196.0,77.0,4.3
56,Alhambra Unified,2019,16194,-1.6279917385493865,600153,Unified,97286.0,59.9,4.1,71304.0,75.1,3.9
57,Twin Rivers Unified,2015,31064,,601332,Unified,138686.0,51.9,9.2,108480.0,62.0,8.5
58,Twin Rivers Unified,2016,31900,2.6912181303116145,601332,Unified,135133.0,53.5,8.2,105473.0,64.6,7.8
59,Twin Rivers Unified,2017,32443,1.7021943573667713,601332,Unified,134619.0,55.4,7.8,106655.0,66.1,7.9
60,Twin Rivers Unified,2018,31426,-3.1347286009308637,601332,Unified,134818.0,56.9,5.1,105042.0,67.2,4.7
61,Twin Rivers Unified,2019,32902,4.696747915738561,601332,Unified,138033.0,60.2,5.8,108420.0,70.4,5.9
62,Santa Barbara Unified,2015,15447,,601414,Unified,73919.0,66.9,4.2,54677.0,82.0,3.9
63,Santa Barbara Unified,2016,15182,-1.715543471224186,601414,Unified,73578.0,63.2,4.0,53547.0,76.4,3.4
64,Santa Barbara Unified,2017,15037,-0.9550783822948228,601414,Unified,75781.0,68.9,4.3,55067.0,83.3,3.7
65,Santa Barbara Unified,2018,14796,-1.6027133071756337,601414,Unified,75486.0,61.9,5.2,54225.0,76.6,4.6
66,Santa Barbara Unified,2019,14534,-1.770748851040822,601414,Unified,,,,,,
67,ABC Unified,2015,20811,,601620,Unified,83008.0,54.1,7.4,61243.0,68.4,7.3
68,ABC Unified,2016,20706,-0.5045408678102926,601620,Unified,84152.0,54.4,6.3,62412.0,68.3,6.5
69,ABC Unified,2017,20497,-1.0093692649473582,601620,Unified,90383.0,58.7,6.3,66148.0,73.9,5.8
70,ABC Unified,2018,20402,-0.4634824608479289,601620,Unified,91963.0,55.0,6.5,64965.0,71.4,6.3
71,ABC Unified,2019,20229,-0.8479560827369866,601620,Unified,85646.0,59.7,4.2,62074.0,74.8,4.2
72,Acalanes Union High,2015,5522,,601650,Secondary,94601.0,55.6,5.7,60947.0,74.3,5.9
73,Acalanes Union High,2016,5511,-0.199203187250996,601650,Secondary,100100.0,59.5,3.4,65530.0,78.9,2.0
74,Acalanes Union High,2017,5642,2.377064053710761,601650,Secondary,97561.0,58.3,2.7,63029.0,77.7,2.8
75,Acalanes Union High,2018,5655,0.2304147465437788,601650,Secondary,100398.0,56.8,3.0,66183.0,74.0,3.1
76,Acalanes Union High,2019,5606,-0.8664898320070734,601650,Secondary,95161.0,56.4,4.2,60424.0,76.3,3.9
77,Alameda Unified,2015,11065,,601770,Unified,64837.0,62.2,4.3,51113.0,74.9,4.2
78,Alameda Unified,2016,11170,0.9489380930863082,601770,Unified,63244.0,63.1,3.5,49705.0,74.1,3.6
79,Alameda Unified,2017,11267,0.8683974932855865,601770,Unified,62878.0,64.4,3.3,47597.0,77.5,3.3
80,Alameda Unified,2018,11227,-0.3550190822756723,601770,Unified,63939.0,66.7,2.9,47499.0,82.6,2.9
81,Alameda Unified,2019,11248,0.1870490781152578,601770,Unified,63509.0,64.5,2.9,47218.0,80.0,3.2
82,Alum Rock Union Elementary,2015,12064,,602310,Elementary,94280.0,60.5,8.4,72625.0,74.2,7.6
83,Alum Rock Union Elementary,2016,11621,-3.672082228116711,602310,Elementary,94609.0,61.2,6.8,72877.0,74.1,6.6
84,Alum Rock Union Elementary,2017,11266,-3.05481455984855,602310,Elementary,91208.0,63.0,4.3,68829.0,76.7,4.1
85,Alum Rock Union Elementary,2018,10740,-4.668915320433162,602310,Elementary,94329.0,64.4,4.8,72389.0,77.4,4.7
86,Alum Rock Union Elementary,2019,10260,-4.46927374301676,602310,Elementary,97365.0,64.0,5.7,74881.0,77.0,6.0
87,Alvord Unified,2015,19433,,602430,Unified,85102.0,61.1,7.6,68016.0,71.7,5.8
88,Alvord Unified,2016,19227,-1.0600524880358155,602430,Unified,87885.0,60.7,6.6,70711.0,71.0,6.2
89,Alvord Unified,2017,18977,-1.3002548499505904,602430,Unified,90383.0,61.4,7.2,71042.0,74.4,6.0
90,Alvord Unified,2018,18479,-2.624229330241872,602430,Unified,91610.0,64.0,4.0,74470.0,74.2,3.6
91,Alvord Unified,2019,18140,-1.8345148546999293,602430,Unified,95444.0,62.8,3.5,74961.0,76.0,3.2
92,Anaheim Elementary,2015,18840,,602610,Elementary,161041.0,65.7,6.6,130994.0,76.8,6.1
93,Anaheim Elementary,2016,18548,-1.5498938428874736,602610,Elementary,161824.0,63.9,5.5,131073.0,74.4,5.2
94,Anaheim Elementary,2017,17911,-3.434332542592193,602610,Elementary,159220.0,62.6,6.1,128711.0,72.6,5.3
95,Anaheim Elementary,2018,17332,-3.23265032661493,602610,Elementary,164380.0,66.4,4.1,131348.0,77.6,3.7
96,Anaheim Elementary,2019,16913,-2.4174936533579503,602610,Elementary,163233.0,67.7,3.9,133126.0,77.8,3.7
97,Anaheim Union High,2015,31253,,602630,Secondary,318548.0,62.2,6.1,249796.0,75.1,5.7
98,Anaheim Union High,2016,30938,-1.0079032412888362,602630,Secondary,319085.0,61.4,5.3,248541.0,74.0,5.0
99,Anaheim Union High,2017,30704,-0.7563514125024242,602630,Secondary,318227.0,60.9,5.3,246046.0,73.5,4.6
100,Anaheim Union High,2018,30270,-1.4134966128191766,602630,Secondary,319829.0,64.7,4.3,249958.0,76.9,4.0
101,Anaheim Union High,2019,29797,-1.5626032375289065,602630,Secondary,324683.0,64.9,4.0,255737.0,76.6,3.9
102,Antelope Valley Union High,2015,24094,,602820,Secondary,282958.0,48.7,9.4,221396.0,58.9,8.5
