,District,year,ENR_TOTAL,Percent Change,NCESDist
42016,Acton-Agua Dulce Unified,2015,7475,,0600001
75383,Acton-Agua Dulce Unified,2016,10016,33.9933110367893,0600001
117408,Acton-Agua Dulce Unified,2017,14855,48.31269968051119,0600001
152686,Acton-Agua Dulce Unified,2018,15819,6.4893975092561424,0600001
183633,Acton-Agua Dulce Unified,2019,11499,-27.30893229660535,0600001
44551,California School for the Blind (State Special Schl),2015,47,,0600002
54430,California School for the Blind (State Special Schl),2016,39,-17.02127659574468,0600002
123788,California School for the Blind (State Special Schl),2017,40,2.564102564102564,0600002
180577,California School for the Blind (State Special Schl),2018,66,65.0,0600002
206069,California School for the Blind (State Special Schl),2019,64,-3.0303030303030303,0600002
45164,California School for the Deaf-Fremont (State Special Schl),2015,392,,0600003
46056,California School for the Deaf-Fremont (State Special Schl),2016,380,-3.061224489795918,0600003
131172,California School for the Deaf-Fremont (State Special Schl),2017,375,-1.3157894736842104,0600003
178383,California School for the Deaf-Fremont (State Special Schl),2018,372,-0.8,0600003
206190,California School for the Deaf-Fremont (State Special Schl),2019,350,-5.913978494623656,0600003
36174,Ross Valley Elementary,2015,2320,,0600006
80666,Ross Valley Elementary,2016,2225,-4.094827586206897,0600006
110948,Ross Valley Elementary,2017,2083,-6.382022471910112,0600006
150126,Ross Valley Elementary,2018,2081,-0.09601536245799328,0600006
210254,Ross Valley Elementary,2019,2028,-2.5468524747717445,0600006
44496,California School for the Deaf-Riverside (State Special Schl),2015,345,,0600007
46789,California School for the Deaf-Riverside (State Special Schl),2016,352,2.0289855072463765,0600007
125481,California School for the Deaf-Riverside (State Special Schl),2017,361,2.556818181818182,0600007
161187,California School for the Deaf-Riverside (State Special Schl),2018,348,-3.6011080332409975,0600007
204093,California School for the Deaf-Riverside (State Special Schl),2019,337,-3.1609195402298855,0600007
13499,Cuyama Joint Unified,2015,234,,0600009
81937,Cuyama Joint Unified,2016,245,4.700854700854701,0600009
113980,Cuyama Joint Unified,2017,761,210.6122448979592,0600009
148287,Cuyama Joint Unified,2018,786,3.28515111695138,0600009
200145,Cuyama Joint Unified,2019,242,-69.21119592875317,0600009
18979,Fort Sage Unified,2015,309,,0600011
83646,Fort Sage Unified,2016,240,-22.330097087378643,0600011
134691,Fort Sage Unified,2017,254,5.833333333333333,0600011
139850,Fort Sage Unified,2018,271,6.692913385826772,0600011
205219,Fort Sage Unified,2019,483,78.22878228782287,0600011
30456,Twin Ridges Elementary,2015,105,,0600012
68621,Twin Ridges Elementary,2016,95,-9.523809523809524,0600012
118763,Twin Ridges Elementary,2017,97,2.1052631578947367,0600012
157374,Twin Ridges Elementary,2018,97,0.0,0600012
188039,Twin Ridges Elementary,2019,99,2.0618556701030926,0600012
36429,Rocklin Unified,2015,12976,,0600013
79986,Rocklin Unified,2016,13241,2.0422318125770653,0600013
108483,Rocklin Unified,2017,13553,2.3563174986783477,0600013
152444,Rocklin Unified,2018,14070,3.814653582232716,0600013
210739,Rocklin Unified,2019,14125,0.39090262970859985,0600013
16781,Hesperia Unified,2015,23970,,0600014
49304,Hesperia Unified,2016,23829,-0.5882352941176471,0600014
116699,Hesperia Unified,2017,24138,1.2967392672793656,0600014
172912,Hesperia Unified,2018,24122,-0.06628552489850029,0600014
191375,Hesperia Unified,2019,24396,1.1358925462233647,0600014
11321,Lucerne Valley Unified,2015,2346,,0600015
57281,Lucerne Valley Unified,2016,2636,12.361466325660698,0600015
94633,Lucerne Valley Unified,2017,3449,30.842185128983306,0600015
168637,Lucerne Valley Unified,2018,5416,57.03102348506813,0600015
208808,Lucerne Valley Unified,2019,9312,71.93500738552437,0600015
29979,Upland Unified,2015,11138,,0600016
65737,Upland Unified,2016,11015,-1.1043275273837314,0600016
111532,Upland Unified,2017,10894,-1.0985020426690877,0600016
159994,Upland Unified,2018,10684,-1.9276666054709013,0600016
