,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),NCESDist,year
1,82334,68715,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,42536,32621,62228,48.6,48.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,53.3,42.9,60.4,8.7,8.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.9,10.9,7.7,06,00014,0600014,2016
2,63598,45850,-999999999,-999999999,5919,-999999999,-999999999,-999999999,21048,30381,47083,63.1,61.8,-999999999.0,-999999999.0,65.7,-999999999.0,-999999999.0,-999999999.0,70.0,56.4,76.1,3.5,3.5,-999999999.0,-999999999.0,1.9,-999999999.0,-999999999.0,-999999999.0,4.6,2.2,3.4,06,00016,0600016,2016
3,63453,50460,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,20642,32871,46795,45.9,45.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,47.0,44.8,58.1,13.1,14.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,20.0,9.9,13.1,06,00017,0600017,2016
4,62993,38232,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,34165,48061,61.5,60.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.1,73.9,4.0,5.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.7,3.5,06,00020,0600020,2016
5,100634,63493,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,41790,46943,80312,58.9,58.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.3,55.7,69.9,8.2,10.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.3,10.9,7.1,06,00027,0600027,2016
6,120506,78482,-999999999,-999999999,11132,-999999999,-999999999,-999999999,30523,63879,92970,58.7,59.9,-999999999.0,-999999999.0,55.4,-999999999.0,-999999999.0,-999999999.0,60.0,60.6,70.6,7.8,7.6,-999999999.0,-999999999.0,5.0,-999999999.0,-999999999.0,-999999999.0,10.2,7.0,7.1,06,00028,0600028,2016
7,84976,56110,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,22089,44219,66062,57.9,57.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.6,56.7,70.8,8.6,8.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,13.8,7.0,8.0,06,00029,0600029,2016
8,-999999999,43390,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,37955,-999999999,-999999999.0,66.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.4,-999999999.0,-999999999.0,3.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.1,-999999999.0,06,00032,0600032,2016
9,-999999999,30083,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,20487,-999999999,-999999999.0,67.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.0,-999999999.0,-999999999.0,5.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.8,-999999999.0,06,00036,0600036,2016
10,62240,36472,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,22897,22349,47597,61.6,61.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.6,62.5,75.4,5.3,6.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.4,4.3,4.6,06,00047,0600047,2016
11,98402,17309,-999999999,-999999999,60130,-999999999,16343,-999999999,28168,6619,70965,56.3,52.4,-999999999.0,-999999999.0,55.2,-999999999.0,63.1,-999999999.0,60.7,46.3,73.3,4.9,6.6,-999999999.0,-999999999.0,3.9,-999999999.0,5.5,-999999999.0,6.6,4.7,4.5,06,00153,0600153,2016
12,60453,47903,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,20236,33566,44492,55.6,55.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,56.0,55.1,71.4,8.2,9.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,11.5,7.3,7.7,06,00158,0600158,2016
13,135133,85109,15977,-999999999,15558,-999999999,-999999999,-999999999,38677,58828,105473,53.5,54.3,46.5,-999999999.0,53.7,-999999999.0,-999999999.0,-999999999.0,59.0,51.6,64.6,8.2,5.9,13.7,-999999999.0,5.8,-999999999.0,-999999999.0,-999999999.0,7.0,7.3,7.8,06,01332,0601332,2016
