,Geography,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (UNIFIED),District,NCESDist,year
1,9700000US0609070,67426,23574,-999999999,-999999999,-999999999,-999999999,40971,-999999999,53873,11272,52971,52.9,45.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.0,-999999999.0,57.8,31.4,64.6,16.7,6.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,20.8,-999999999.0,17.7,7.7,15.7,"Coachella Valley Unified School District, California",06,09070,Coachella Valley Unified School District,0609070,2017
2,9700000US0609390,89037,51158,-999999999,-999999999,-999999999,-999999999,20559,-999999999,54092,19754,71964,57.7,56.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.3,-999999999.0,57.5,57.5,67.8,5.5,4.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.6,-999999999.0,6.1,3.6,5.4,"Colton Joint Unified School District, California",06,09390,Colton Joint Unified School District,0609390,2017
3,9700000US0609620,114688,30612,37214,-999999999,-999999999,-999999999,42859,-999999999,72518,-999999999,92881,53.9,62.2,46.9,-999999999.0,-999999999.0,-999999999.0,54.5,-999999999.0,58.9,-999999999.0,63.2,8.1,9.2,12.6,-999999999.0,-999999999.0,-999999999.0,2.6,-999999999.0,6.0,-999999999.0,7.6,"Compton Unified School District, California",06,09620,Compton Unified School District,0609620,2017
4,9700000US0609640,111769,92016,-999999999,-999999999,11712,-999999999,-999999999,-999999999,16235,80351,77249,61.8,60.4,-999999999.0,-999999999.0,66.6,-999999999.0,-999999999.0,-999999999.0,67.6,59.3,78.5,3.1,3.4,-999999999.0,-999999999.0,2.0,-999999999.0,-999999999.0,-999999999.0,2.2,3.7,2.3,"Conejo Valley Unified School District, California",06,09640,Conejo Valley Unified School District,0609640,2017
5,9700000US0609850,221791,124876,18264,-999999999,27848,-999999999,40947,-999999999,87127,83476,173109,61.9,60.8,62.3,-999999999.0,64.8,-999999999.0,62.3,-999999999.0,62.4,60.4,74.2,5.0,3.9,8.4,-999999999.0,4.3,-999999999.0,6.9,-999999999.0,5.6,3.6,4.6,"Corona-Norco Unified School District, California",06,09850,Corona-Norco Unified School District,0609850,2017
6,9700000US0610050,66030,33117,-999999999,-999999999,14231,-999999999,13776,-999999999,37591,-999999999,49623,59.9,53.5,-999999999.0,-999999999.0,68.0,-999999999.0,66.3,-999999999.0,60.1,-999999999.0,74.2,7.3,9.0,-999999999.0,-999999999.0,3.0,-999999999.0,9.4,-999999999.0,10.7,-999999999.0,6.5,"Covina-Valley Unified School District, California",06,10050,Covina-Valley Unified School District,0610050,2017
7,9700000US0610620,70765,44078,-999999999,-999999999,16993,-999999999,-999999999,-999999999,-999999999,38128,50296,50.8,56.5,-999999999.0,-999999999.0,39.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,56.7,62.3,9.1,6.8,-999999999.0,-999999999.0,12.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.4,9.6,"Davis Joint Unified School District, California",06,10620,Davis Joint Unified School District,0610620,2017
8,9700000US0611110,162618,121320,-999999999,-999999999,-999999999,-999999999,27836,-999999999,64254,87317,102451,48.9,44.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.8,-999999999.0,60.3,38.9,66.8,7.2,5.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,14.2,-999999999.0,8.7,6.2,7.2,"Desert Sands Unified School District, California",06,11110,Desert Sands Unified School District,0611110,2017
9,9700000US0611460,97028,53088,-999999999,-999999999,-999999999,-999999999,31433,-999999999,72324,14158,75937,61.1,58.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,65.1,-999999999.0,62.7,51.3,73.5,6.4,7.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.2,-999999999.0,7.1,4.3,6.0,"Downey Unified School District, California",06,11460,Downey Unified School District,0611460,2017
10,9700000US0612330,265529,118378,31336,-999999999,72817,-999999999,-999999999,17590,54348,89414,201790,57.5,56.3,56.6,-999999999.0,58.4,-999999999.0,-999999999.0,57.4,63.5,54.0,70.2,6.7,5.1,11.6,-999999999.0,6.2,-999999999.0,-999999999.0,7.1,3.7,6.2,6.4,"Elk Grove Unified School District, California",06,12330,Elk Grove Unified School District,0612330,2017
11,9700000US0613360,109247,52533,16248,-999999999,23622,-999999999,-999999999,-999999999,25098,37976,83333,60.0,59.6,56.2,-999999999.0,61.7,-999999999.0,-999999999.0,-999999999.0,61.1,59.6,72.2,5.7,5.3,11.0,-999999999.0,1.9,-999999999.0,-999999999.0,-999999999.0,6.6,4.7,4.1,"Fairfield-Suisun Unified School District, California",06,13360,Fairfield-Suisun Unified School District,0613360,2017
12,9700000US0613890,103934,71102,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,62426,81256,60.3,60.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.8,71.9,5.6,4.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.3,5.3,"Folsom-Cordova Unified School District, California",06,13890,Folsom-Cordova Unified School District,0613890,2017
13,9700000US0613920,138080,49995,-999999999,-999999999,-999999999,-999999999,70240,-999999999,106706,18497,112668,60.4,59.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.4,-999999999.0,60.1,58.8,70.3,8.3,5.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,10.6,-999999999.0,8.7,7.5,6.8,"Fontana Unified School District, California",06,13920,Fontana Unified School District,0613920,2017
14,9700000US0614400,184698,45968,-999999999,-999999999,112205,-999999999,-999999999,-999999999,22489,40310,147085,63.9,59.7,-999999999.0,-999999999.0,64.9,-999999999.0,-999999999.0,-999999999.0,71.5,59.1,76.0,4.2,5.6,-999999999.0,-999999999.0,4.2,-999999999.0,-999999999.0,-999999999.0,1.7,5.7,4.2,"Fremont Unified School District, California",06,14400,Fremont Unified School District,0614400,2017
15,9700000US0614550,299841,190142,25397,-999999999,33867,-999999999,38322,8190,152295,83452,231004,52.7,53.5,42.0,-999999999.0,53.7,-999999999.0,55.4,57.1,54.8,52.2,63.6,10.5,8.3,22.3,-999999999.0,7.9,-999999999.0,15.1,8.6,11.0,6.2,9.4,"Fresno Unified School District, California",06,14550,Fresno Unified School District,0614550,2017
16,9700000US0614880,228393,78962,-999999999,-999999999,107210,-999999999,33944,-999999999,69459,46208,173822,60.6,61.7,-999999999.0,-999999999.0,56.9,-999999999.0,71.1,-999999999.0,71.0,54.3,74.9,4.0,3.4,-999999999.0,-999999999.0,4.2,-999999999.0,3.3,-999999999.0,3.2,4.0,3.8,"Garden Grove Unified School District, California",06,14880,Garden Grove Unified School District,0614880,2017
17,9700000US0615180,51275,37448,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,25296,17424,38284,63.7,63.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.4,58.2,77.1,4.7,5.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.1,5.6,4.5,"Gilroy Unified School District, California",06,15180,Gilroy Unified School District,0615180,2017
18,9700000US0615240,191511,145786,-999999999,-999999999,27548,-999999999,-999999999,-999999999,31536,123927,142162,56.5,54.3,-999999999.0,-999999999.0,60.1,-999999999.0,-999999999.0,-999999999.0,61.8,53.5,69.9,5.2,5.4,-999999999.0,-999999999.0,3.9,-999999999.0,-999999999.0,-999999999.0,4.4,5.3,5.3,"Glendale Unified School District, California",06,15240,Glendale Unified School District,0615240,2017
19,9700000US0616325,100908,35649,-999999999,-999999999,26298,-999999999,33062,-999999999,62827,8290,76812,60.6,60.4,-999999999.0,-999999999.0,60.3,-999999999.0,62.0,-999999999.0,62.3,50.2,73.7,6.5,7.5,-999999999.0,-999999999.0,4.2,-999999999.0,6.1,-999999999.0,6.7,8.6,6.0,"Hacienda La Puente Unified School District, California",06,16325,Hacienda La Puente Unified School District,0616325,2017
20,9700000US0616740,147486,48737,14557,-999999999,40341,-999999999,-999999999,-999999999,53590,28627,117373,67.0,64.3,62.7,-999999999.0,66.4,-999999999.0,-999999999.0,-999999999.0,70.7,61.3,80.2,3.4,3.4,9.7,-999999999.0,3.0,-999999999.0,-999999999.0,-999999999.0,2.1,3.6,3.2,"Hayward Unified School District, California",06,16740,Hayward Unified School District,0616740,2017
21,9700000US0616920,117234,90322,-999999999,-999999999,-999999999,-999999999,11848,-999999999,44832,60520,79339,45.8,44.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,52.0,-999999999.0,51.1,41.8,61.1,11.2,10.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,10.3,-999999999.0,13.4,7.3,11.2,"Hemet Unified School District, California",06,16920,Hemet Unified School District,0616920,2017
22,9700000US0618390,90464,21380,42173,-999999999,-999999999,-999999999,-999999999,-999999999,39609,-999999999,67518,58.6,63.4,54.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,67.6,-999999999.0,71.9,7.5,5.7,10.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.5,-999999999.0,7.0,"Inglewood Unified School District, California",06,18390,Inglewood Unified School District,0618390,2017
23,9700000US0619260,78248,37617,-999999999,-999999999,-999999999,-999999999,29039,-999999999,51620,17357,61139,59.1,56.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,65.7,-999999999.0,64.2,48.6,69.9,7.1,5.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.3,-999999999.0,5.9,9.7,5.6,"Jurupa Unified School District, California",06,19260,Jurupa Unified School District,0619260,2017
24,9700000US0621000,55670,48416,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,45871,39949,62.0,61.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.7,72.8,4.6,4.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.0,5.1,"Las Virgenes Unified School District, California",06,21000,Las Virgenes Unified School District,0621000,2017
25,9700000US0622110,78126,57897,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,48782,60636,67.8,68.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,67.4,80.5,2.2,1.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.6,2.2,"Livermore Valley Joint Unified School District, California",06,22110,Livermore Valley Joint Unified School District,0622110,2017
